Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,DurationTime,10.0,30.0,2.0,460.0,1304.0,1326.0,2390.0,,,,,,3212.0,0.0
2.0,DurationTime,2.0,30.0,0.0,731.0,881.0,895.0,1964.0,,,,,,2778.0,0.0
3.0,Left,10.0,-60.0,0.0,449.0,1833.0,1853.0,2922.0,3943.0,3999.0,4140.0,4165.0,,5373.0,0.0
4.0,DurationTime,2.0,-30.0,0.0,727.0,5333.0,5349.0,6414.0,,,,,,7228.0,0.0
5.0,Right,10.0,60.0,0.0,469.0,489.0,504.0,1583.0,2601.0,2648.0,2983.0,3007.0,3107.0,4126.0,0.0
6.0,Right,2.0,-7.5,0.0,719.0,742.0,753.0,1825.0,2843.0,2892.0,2876.0,,,3705.0,0.0
7.0,DurationTime,10.0,7.5,0.0,463.0,486.0,502.0,1574.0,,,,,,2389.0,0.0
8.0,DurationTime,10.0,-7.5,0.0,453.0,474.0,489.0,1566.0,,,,,,2377.0,0.0
9.0,Left,2.0,15.0,0.0,719.0,742.0,756.0,1826.0,2843.0,2889.0,3567.0,,,4391.0,0.0
10.0,DurationTime,10.0,15.0,0.0,440.0,462.0,478.0,1557.0,,,,,,2371.0,0.0
11.0,Right,10.0,15.0,0.0,461.0,484.0,501.0,1568.0,2585.0,2633.0,2660.0,2683.0,2788.0,3804.0,0.0
12.0,Right,2.0,-60.0,0.0,724.0,747.0,769.0,1836.0,2855.0,2901.0,3219.0,,,4046.0,0.0
13.0,Left,10.0,-15.0,0.0,251.0,270.0,286.0,1366.0,2386.0,2434.0,2428.0,2454.0,,3660.0,0.0
14.0,Left,10.0,-7.5,0.0,436.0,500.0,516.0,1581.0,2598.0,2646.0,3135.0,3158.0,,4368.0,0.0
15.0,Left,2.0,60.0,0.0,698.0,1521.0,1538.0,2596.0,3615.0,3661.0,4097.0,,,4921.0,0.0
16.0,Right,10.0,7.5,0.0,477.0,500.0,511.0,1589.0,2608.0,2655.0,3742.0,3765.0,3867.0,4884.0,0.0
17.0,Right,2.0,-15.0,0.0,720.0,741.0,754.0,1818.0,2832.0,2882.0,3854.0,,,4678.0,0.0
18.0,Right,2.0,30.0,0.0,691.0,713.0,726.0,1798.0,2815.0,2866.0,2849.0,2882.0,2983.0,3998.0,0.0
19.0,Right,2.0,7.5,0.0,702.0,725.0,744.0,1806.0,2824.0,2870.0,3284.0,3308.0,3410.0,4426.0,0.0
20.0,Right,10.0,30.0,0.0,467.0,491.0,507.0,1573.0,2590.0,2637.0,3809.0,3831.0,3935.0,4953.0,0.0
21.0,DurationTime,10.0,-30.0,0.0,449.0,473.0,490.0,1565.0,,,,,,2378.0,0.0
22.0,Left,2.0,-30.0,0.0,712.0,1226.0,1242.0,2307.0,3323.0,3371.0,3685.0,3708.0,,4919.0,0.0
23.0,Left,10.0,-30.0,0.0,272.0,883.0,898.0,1959.0,2976.0,3022.0,4183.0,4206.0,,5417.0,0.0
24.0,Right,10.0,-15.0,0.0,257.0,591.0,607.0,1683.0,2700.0,2748.0,4488.0,,,5312.0,0.0
