,HEADING_DIRECTION,R_counts,counts
0,-60.0,3,21
1,-30.0,4,20
2,-15.0,6,19
3,-7.5,6,24
4,7.5,7,25
5,15.0,11,20
6,30.0,14,24
7,60.0,16,22
