,HEADING_DIRECTION,R_counts,counts
0,-60.0,3,18
1,-30.0,2,17
2,-15.0,3,18
3,-7.5,10,15
4,7.5,7,18
5,15.0,13,19
6,30.0,14,18
7,60.0,14,16
