,HEADING_DIRECTION,R_counts,counts
0,-60.0,75,587
1,-30.0,123,563
2,-15.0,189,603
3,-7.5,200,586
4,7.5,368,606
5,15.0,421,590
6,30.0,483,570
7,60.0,523,585
