Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,1877
2,2,2,0000000000010,0000000000010,5445,9809
3,2,2,0000000000011,0000000000010,21379,23263
4,4,4,0000000000100,0000000000100,27621,30579
5,4,4,0000000000101,0000000000100,36741,38627
6,4,4,0000000000110,0000000000100,41299,43189
7,4,4,0000000000111,0000000000100,48059,51984
8,8,8,0000000001000,0000000001000,56014,57900
9,9,8,0000000001001,0000000001001,91937,96256
10,8,8,0000000001010,0000000001000,100334,104405
11,8,8,0000000001011,0000000001000,107113,112696
12,8,8,0000000001100,0000000001000,115705,119505
13,8,8,0000000001101,0000000001000,126103,130639
14,8,8,0000000001110,0000000001000,135378,139599
15,8,8,0000000001111,0000000001000,142166,145446
16,16,16,0000000010000,0000000010000,148544,153358
17,16,16,0000000010001,0000000010000,156357,160380
18,16,16,0000000010010,0000000010000,162938,167992
19,16,16,0000000010011,0000000010000,170973,173939
20,16,16,0000000010100,0000000010000,183771,187450
21,16,16,0000000010101,0000000010000,190230,194377
22,16,16,0000000010110,0000000010000,197377,201038
23,16,16,0000000010111,0000000010000,204036,207718
24,16,16,0000000011000,0000000010000,210731,214433
25,16,16,0000000011001,0000000010000,217457,221368
26,16,16,0000000011010,0000000010000,223970,225862
27,16,16,0000000011011,0000000010000,228443,230330
28,16,16,0000000011100,0000000010000,234469,240410
29,16,16,0000000011101,0000000010000,245291,247177
30,16,16,0000000011110,0000000010000,249950,251838
31,16,16,0000000011111,0000000010000,255249,257137
32,32,32,0000000100000,0000000100000,265951,267831
33,32,32,0000000100001,0000000100000,314835,318723
34,34,32,0000000100010,0000000100010,321483,326029
35,34,32,0000000100011,0000000100010,340137,343981
36,32,32,0000000100100,0000000100000,346749,350581
37,32,32,0000000100101,0000000100000,353631,355522
38,34,32,0000000100110,0000000100010,407885,411830
39,32,32,0000000100111,0000000100000,414732,418383
40,40,32,0000000101000,0000000101000,422509,426113
41,40,32,0000000101001,0000000101000,436141,440198
42,34,32,0000000101010,0000000100010,447622,449508
43,32,32,0000000101011,0000000100000,474358,478566
44,32,32,0000000101100,0000000100000,481360,485534
45,32,32,0000000101101,0000000100000,488533,492271
46,34,32,0000000101110,0000000100010,495292,499539
47,34,32,0000000101111,0000000100010,503659,507533
48,32,32,0000000110000,0000000100000,510559,514730
49,32,32,0000000110001,0000000100000,517729,521780
50,34,32,0000000110010,0000000100010,535921,539939
51,34,32,0000000110011,0000000100010,542943,547343
52,32,32,0000000110100,0000000100000,551516,555641
53,32,32,0000000110101,0000000100000,560166,564478
54,34,32,0000000110110,0000000100010,570702,574767
55,34,32,0000000110111,0000000100010,578886,583099
56,40,32,0000000111000,0000000101000,586232,588117
57,40,32,0000000111001,0000000101000,590870,593820
58,40,32,0000000111010,0000000101000,596406,600331
59,40,32,0000000111011,0000000101000,603358,607462
60,40,32,0000000111100,0000000101000,610037,614103
61,32,32,0000000111101,0000000100000,617543,622383
