Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
1.0,DurationTime,10.0,60.0,0,0.0,261.0,282.0,295.0,1376.0,,,,,,2190.0,0.0,1877
2.0,Right,10.0,30.0,5445,0.0,267.0,1281.0,1298.0,2363.0,3383.0,3428.0,4505.0,4528.0,4630.0,5649.0,0.0,9809
3.0,DurationTime,10.0,7.5,21379,0.0,258.0,9294.0,9310.0,10366.0,,,,,,11178.0,0.0,23263
4.0,Right,10.0,-30.0,27621,0.0,444.0,2078.0,2095.0,3160.0,4178.0,4226.0,4211.0,,,5040.0,0.0,30579
5.0,DurationTime,2.0,15.0,36741,0.0,729.0,3873.0,3893.0,4958.0,,,,,,5771.0,0.0,38627
6.0,DurationTime,10.0,-15.0,41299,0.0,257.0,389.0,401.0,1465.0,,,,,,2281.0,0.0,43189
7.0,Right,2.0,30.0,48059,0.0,719.0,2584.0,2601.0,3665.0,4683.0,4728.0,5365.0,5389.0,5491.0,6506.0,0.0,51984
8.0,DurationTime,2.0,-7.5,56014,0.0,710.0,1754.0,1772.0,2833.0,,,,,,3647.0,0.0,57900
9.0,Right,2.0,15.0,91937,0.0,692.0,10276.0,10289.0,11353.0,12369.0,12424.0,13415.0,13438.0,13539.0,14562.0,0.0,96256
10.0,Right,2.0,7.5,100334,0.0,732.0,1795.0,1813.0,2877.0,3893.0,3940.0,4723.0,4746.0,4846.0,5868.0,0.0,104405
11.0,Right,10.0,15.0,107113,0.0,255.0,429.0,445.0,1509.0,2528.0,2575.0,4872.0,4896.0,4998.0,6015.0,0.0,112696
12.0,Right,2.0,-15.0,115705,0.0,701.0,724.0,741.0,1809.0,2826.0,2873.0,3707.0,,,4533.0,0.0,119505
13.0,Right,10.0,7.5,126103,0.0,261.0,4298.0,4314.0,5392.0,6409.0,6456.0,7706.0,7730.0,7832.0,8847.0,0.0,130639
14.0,Right,2.0,60.0,135378,0.0,692.0,2465.0,2483.0,3542.0,4559.0,4606.0,5547.0,5570.0,5670.0,6687.0,0.0,139599
15.0,Right,10.0,60.0,142166,0.0,258.0,280.0,295.0,1375.0,2396.0,2442.0,2426.0,2455.0,2556.0,3575.0,0.0,145446
16.0,Left,10.0,-15.0,148544,0.0,456.0,815.0,830.0,1898.0,2918.0,2962.0,4340.0,4363.0,,5596.0,0.0,153358
