Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
1.0,Right,10.0,-15.0,0,0.0,458.0,2474.0,2490.0,3564.0,4580.0,4625.0,5700.0,,,6528.0,0.0,4037
2.0,Right,10.0,60.0,6817,0.0,465.0,491.0,506.0,1579.0,2600.0,2651.0,2630.0,2665.0,2766.0,3783.0,0.0,10107
3.0,Left,2.0,-60.0,13416,0.0,715.0,1019.0,1039.0,2101.0,3121.0,3165.0,4076.0,4099.0,,5332.0,0.0,17761
4.0,Right,2.0,-15.0,20747,0.0,687.0,709.0,719.0,1783.0,2798.0,2848.0,3440.0,,,4264.0,0.0,24308
5.0,Left,10.0,-60.0,27087,0.0,466.0,490.0,504.0,1577.0,2594.0,2643.0,2628.0,2659.0,,3880.0,0.0,30466
6.0,Right,10.0,15.0,34017,0.0,470.0,1263.0,1279.0,2347.0,3366.0,3412.0,4558.0,4582.0,4684.0,5699.0,0.0,38441
7.0,Right,2.0,7.5,41445,0.0,694.0,714.0,727.0,1795.0,2810.0,2856.0,3693.0,3716.0,3818.0,4834.0,0.0,45552
8.0,Right,10.0,30.0,48319,0.0,453.0,476.0,486.0,1569.0,2586.0,2634.0,3785.0,3805.0,3910.0,4928.0,0.0,52761
9.0,Right,2.0,30.0,55757,0.0,691.0,714.0,728.0,1798.0,2815.0,2862.0,3448.0,3471.0,3574.0,4590.0,0.0,59633
10.0,Right,2.0,15.0,62665,0.0,727.0,751.0,771.0,1831.0,2849.0,2896.0,3659.0,3682.0,3784.0,4798.0,0.0,66712
11.0,Right,2.0,60.0,69742,0.0,720.0,741.0,758.0,1826.0,2845.0,2890.0,4091.0,4115.0,4216.0,5232.0,0.0,74251
12.0,Left,2.0,-7.5,77283,0.0,721.0,744.0,760.0,1824.0,2844.0,2887.0,4099.0,4122.0,,5350.0,0.0,81885
13.0,Left,10.0,-30.0,84664,0.0,463.0,486.0,500.0,1574.0,2590.0,2636.0,3381.0,3404.0,,4628.0,0.0,88805
14.0,Right,10.0,7.5,91384,0.0,263.0,284.0,299.0,1376.0,2392.0,2450.0,2427.0,2456.0,2556.0,3573.0,0.0,94658
15.0,Right,2.0,-30.0,97665,0.0,705.0,726.0,735.0,1811.0,2829.0,2876.0,2973.0,,,3797.0,0.0,100734
16.0,DurationTime,10.0,-7.5,103504,0.0,456.0,476.0,492.0,1570.0,,,,,,2384.0,0.0,105430
17.0,Right,10.0,-7.5,107994,0.0,249.0,270.0,284.0,1365.0,2382.0,2432.0,2415.0,,,3245.0,0.0,110955
18.0,DurationTime,10.0,-7.5,113704,0.0,440.0,462.0,474.0,1550.0,,,,,,2363.0,0.0,115593
19.0,DurationTime,10.0,-30.0,118165,0.0,256.0,279.0,293.0,1372.0,,,,,,2187.0,0.0,120065
20.0,DurationTime,2.0,60.0,123246,0.0,737.0,900.0,909.0,1978.0,,,,,,2792.0,0.0,125138
21.0,Right,10.0,-15.0,130521,0.0,479.0,3103.0,3120.0,4189.0,5204.0,5253.0,5892.0,,,6718.0,0.0,134134
22.0,Right,10.0,30.0,136701,0.0,258.0,280.0,295.0,1370.0,2388.0,2435.0,3622.0,3645.0,3747.0,4765.0,0.0,141213
23.0,Right,2.0,60.0,145557,0.0,730.0,2055.0,2076.0,3139.0,4155.0,4203.0,4363.0,4386.0,4489.0,5504.0,0.0,148996
24.0,Left,10.0,-30.0,153224,0.0,256.0,1951.0,1966.0,3031.0,4049.0,4097.0,5089.0,5112.0,,6346.0,0.0,157613
25.0,Right,2.0,30.0,160655,0.0,727.0,749.0,772.0,1836.0,2854.0,2905.0,4221.0,4245.0,4347.0,5365.0,0.0,165262
26.0,Right,10.0,7.5,167856,0.0,275.0,299.0,310.0,1386.0,2404.0,2450.0,3581.0,3605.0,3707.0,4728.0,0.0,172301
27.0,Left,2.0,15.0,175301,0.0,695.0,718.0,735.0,1798.0,2814.0,2863.0,3854.0,,,4682.0,0.0,179264
28.0,Right,2.0,-30.0,182276,0.0,704.0,727.0,745.0,1804.0,2820.0,2868.0,2986.0,,,3811.0,0.0,185353
29.0,Right,2.0,-7.5,188373,0.0,718.0,740.0,752.0,1815.0,2830.0,2878.0,3298.0,,,4126.0,0.0,191768
30.0,Right,2.0,-15.0,194774,0.0,699.0,722.0,735.0,1806.0,2823.0,2870.0,3797.0,,,4624.0,0.0,198664
31.0,DurationTime,2.0,-60.0,201685,0.0,717.0,739.0,753.0,1817.0,,,,,,2631.0,0.0,203574
32.0,Right,10.0,15.0,206154,0.0,270.0,294.0,310.0,1385.0,2402.0,2453.0,2436.0,2467.0,2565.0,3582.0,0.0,209437
33.0,Right,10.0,-7.5,212020,0.0,252.0,304.0,316.0,1375.0,2392.0,2439.0,3718.0,,,4542.0,0.0,216258
34.0,Left,2.0,-60.0,219289,0.0,726.0,747.0,758.0,1826.0,2840.0,2892.0,3265.0,3288.0,,4520.0,0.0,223061
35.0,Right,2.0,7.5,226094,0.0,717.0,741.0,760.0,1828.0,2844.0,2893.0,3923.0,3946.0,4049.0,5065.0,0.0,230411
36.0,Left,10.0,-60.0,232981,0.0,254.0,277.0,289.0,1375.0,2394.0,2441.0,3497.0,3520.0,,4749.0,0.0,237444
37.0,Right,10.0,60.0,240224,0.0,464.0,485.0,499.0,1584.0,2603.0,2648.0,3396.0,3420.0,3519.0,4537.0,0.0,244262
38.0,Left,10.0,-7.5,247087,0.0,258.0,541.0,556.0,1616.0,2636.0,2680.0,4336.0,4360.0,,5596.0,0.0,252162
39.0,DurationTime,10.0,30.0,254905,0.0,424.0,446.0,458.0,1538.0,,,,,,2360.0,0.0,256828
40.0,Right,2.0,-30.0,259869,0.0,737.0,758.0,778.0,1841.0,2860.0,2905.0,3802.0,,,4624.0,0.0,263725
41.0,Left,2.0,-60.0,266740,0.0,713.0,732.0,746.0,1815.0,2834.0,2877.0,3362.0,3386.0,,4611.0,0.0,270611
42.0,Right,2.0,-7.5,273639,0.0,725.0,747.0,764.0,1832.0,2848.0,2896.0,3609.0,,,4435.0,0.0,277322
43.0,Right,2.0,60.0,281523,0.0,712.0,1916.0,1934.0,2995.0,4012.0,4059.0,5034.0,5057.0,5158.0,6174.0,0.0,285782
44.0,Left,2.0,15.0,288807,0.0,707.0,731.0,754.0,1818.0,2835.0,2882.0,3507.0,,,4331.0,0.0,292394
45.0,Left,10.0,-60.0,294967,0.0,262.0,284.0,301.0,1372.0,2391.0,2438.0,5265.0,5288.0,,6515.0,0.0,301193
46.0,DurationTime,2.0,7.5,304217,0.0,714.0,735.0,750.0,1817.0,,,,,,2627.0,0.0,306102
47.0,DurationTime,10.0,-15.0,308864,0.0,444.0,467.0,484.0,1556.0,,,,,,2369.0,0.0,310754
48.0,Left,10.0,7.5,313416,0.0,250.0,383.0,394.0,1465.0,2482.0,2530.0,4674.0,,,5494.0,0.0,318524
49.0,DurationTime,10.0,-30.0,321629,0.0,448.0,811.0,831.0,1896.0,,,,,,2712.0,0.0,323556
50.0,DurationTime,10.0,15.0,383128,0.0,455.0,13689.0,13707.0,14770.0,,,,,,15581.0,0.0,385009
51.0,Right,2.0,7.5,397121,0.0,715.0,9820.0,9838.0,10898.0,11915.0,11962.0,12447.0,12470.0,12573.0,13593.0,0.0,400883
52.0,Right,10.0,30.0,403672,0.0,474.0,495.0,509.0,1588.0,2607.0,2650.0,2874.0,2897.0,3000.0,4020.0,0.0,407188
53.0,Right,10.0,15.0,409953,0.0,460.0,482.0,496.0,1567.0,2586.0,2632.0,3395.0,3419.0,3521.0,4539.0,0.0,414002
54.0,Right,10.0,60.0,416573,0.0,256.0,280.0,295.0,1370.0,2386.0,2434.0,3309.0,3333.0,3432.0,4448.0,0.0,420736
55.0,Right,2.0,30.0,424052,0.0,717.0,1031.0,1050.0,2116.0,3132.0,3179.0,3248.0,3272.0,3374.0,4392.0,0.0,427409
56.0,Right,10.0,-30.0,432196,0.0,451.0,2504.0,2520.0,3587.0,4604.0,4653.0,6170.0,,,6991.0,0.0,436676
57.0,Right,10.0,-15.0,441001,0.0,472.0,2038.0,2055.0,3119.0,4136.0,4183.0,5061.0,,,5882.0,0.0,444832
58.0,DurationTime,2.0,-15.0,451994,0.0,723.0,4878.0,4902.0,5958.0,,,,,,6774.0,0.0,453881
59.0,DurationTime,2.0,-15.0,456999,0.0,727.0,822.0,840.0,1911.0,,,,,,2726.0,0.0,458896
60.0,DurationTime,2.0,-15.0,471436,0.0,691.0,10257.0,10275.0,11339.0,,,,,,12153.0,0.0,473329
61.0,DurationTime,2.0,-15.0,478619,0.0,725.0,2989.0,3005.0,4072.0,,,,,,4885.0,0.0,480495
62.0,DurationTime,2.0,-15.0,485666,0.0,729.0,2882.0,2898.0,3968.0,,,,,,4783.0,0.0,487568
63.0,DurationTime,2.0,-15.0,491407,0.0,719.0,1564.0,1584.0,2640.0,,,,,,3454.0,0.0,493296
64.0,DurationTime,2.0,-15.0,496294,0.0,688.0,711.0,725.0,1795.0,,,,,,2609.0,0.0,498186
65.0,Left,2.0,-15.0,504836,0.0,718.0,4363.0,4380.0,5448.0,6460.0,6511.0,8201.0,8224.0,,9461.0,0.0,509928
66.0,Right,10.0,-15.0,514327,0.0,451.0,2115.0,2131.0,3198.0,4217.0,4265.0,4256.0,,,5082.0,0.0,517290
67.0,DurationTime,2.0,-7.5,522920,0.0,692.0,3345.0,3365.0,4426.0,,,,,,5243.0,0.0,524811
68.0,DurationTime,10.0,60.0,611423,0.0,270.0,18766.0,18782.0,19847.0,,,,,,20660.0,0.0,613307
69.0,DurationTime,10.0,-60.0,616067,0.0,449.0,473.0,488.0,1555.0,,,,,,2369.0,0.0,617960
70.0,Left,2.0,-15.0,620999,0.0,733.0,756.0,776.0,1842.0,2860.0,2904.0,3701.0,3724.0,,4951.0,0.0,625194
71.0,Left,10.0,-60.0,627938,0.0,434.0,455.0,470.0,1547.0,2566.0,2612.0,3732.0,3756.0,,4985.0,0.0,632454
72.0,Right,10.0,60.0,635254,0.0,480.0,503.0,516.0,1596.0,2611.0,2662.0,2647.0,2680.0,2775.0,3793.0,0.0,638537
73.0,DurationTime,2.0,60.0,642898,0.0,691.0,2083.0,2102.0,3158.0,,,,,,3968.0,0.0,644790
74.0,DurationTime,2.0,-30.0,649521,0.0,721.0,2444.0,2463.0,3530.0,,,,,,4344.0,0.0,651407
75.0,DurationTime,10.0,-30.0,654182,0.0,459.0,482.0,497.0,1572.0,,,,,,2386.0,0.0,656074
76.0,Left,2.0,-30.0,659073,0.0,691.0,715.0,737.0,1794.0,2813.0,2858.0,3516.0,3539.0,,4770.0,0.0,663120
77.0,DurationTime,2.0,30.0,666879,0.0,735.0,1480.0,1497.0,2559.0,,,,,,3375.0,0.0,668770
78.0,Right,10.0,-30.0,671551,0.0,459.0,482.0,494.0,1575.0,2592.0,2638.0,2717.0,,,3538.0,0.0,674592
79.0,DurationTime,10.0,15.0,677152,0.0,255.0,279.0,295.0,1367.0,,,,,,2181.0,0.0,679053
80.0,DurationTime,10.0,15.0,681621,0.0,254.0,278.0,292.0,1365.0,,,,,,2179.0,0.0,683511
81.0,DurationTime,10.0,7.5,686284,0.0,454.0,473.0,483.0,1565.0,,,,,,2379.0,0.0,688171
82.0,DurationTime,2.0,7.5,691194,0.0,713.0,735.0,750.0,1822.0,,,,,,2636.0,0.0,693096
83.0,DurationTime,2.0,-7.5,696524,0.0,697.0,1148.0,1166.0,2228.0,,,,,,3042.0,0.0,698412
84.0,NoDecision,10.0,-7.5,701785,0.0,440.0,1084.0,1100.0,2167.0,3183.0,3231.0,,,,7031.0,0.0,707727
85.0,Left,2.0,-60.0,713266,0.0,734.0,3239.0,3256.0,4334.0,5351.0,5398.0,6955.0,6978.0,,8206.0,0.0,718245
86.0,Right,2.0,60.0,721263,0.0,709.0,733.0,748.0,1815.0,2833.0,2879.0,2896.0,2919.0,3023.0,4039.0,0.0,724567
87.0,Right,2.0,7.5,728552,0.0,705.0,1709.0,1725.0,2792.0,3809.0,3855.0,4583.0,4606.0,4705.0,5721.0,0.0,732566
88.0,Left,2.0,-7.5,735552,0.0,690.0,714.0,726.0,1787.0,2803.0,2848.0,4433.0,4455.0,,5686.0,0.0,740523
89.0,Right,10.0,15.0,743354,0.0,258.0,542.0,558.0,1628.0,2645.0,2695.0,3772.0,3795.0,3898.0,4908.0,0.0,747716
90.0,Right,10.0,30.0,750296,0.0,256.0,279.0,294.0,1370.0,2388.0,2436.0,3612.0,3636.0,3738.0,4756.0,0.0,754760
91.0,Right,2.0,15.0,757757,0.0,696.0,719.0,734.0,1797.0,2815.0,2863.0,3746.0,3770.0,3877.0,4895.0,0.0,761972
92.0,Left,10.0,7.5,764756,1.0,266.0,509.0,522.0,1586.0,2603.0,2650.0,3701.0,,,4527.0,0.0,768779
93.0,DurationTime,10.0,-7.5,772446,0.0,265.0,1387.0,1404.0,2468.0,,,,,,3282.0,0.0,774346
94.0,DurationTime,2.0,30.0,777353,0.0,707.0,728.0,746.0,1807.0,,,,,,2620.0,0.0,779247
95.0,Right,10.0,-7.5,797679,0.0,462.0,16143.0,16156.0,17221.0,18238.0,18286.0,19325.0,,,20152.0,0.0,801678
96.0,Left,2.0,30.0,808281,0.0,696.0,4293.0,4310.0,5400.0,6419.0,6468.0,6450.0,,,7280.0,0.0,811239
97.0,DurationTime,2.0,-7.5,814405,0.0,689.0,883.0,902.0,1968.0,,,,,,2782.0,0.0,816293
98.0,DurationTime,10.0,-15.0,818951,0.0,269.0,364.0,380.0,1449.0,,,,,,2263.0,0.0,820832
99.0,NoDecision,10.0,-30.0,867239,0.0,248.0,500.0,514.0,1573.0,2589.0,2637.0,,,,6439.0,0.0,873178
100.0,Right,10.0,-15.0,875746,0.0,257.0,280.0,296.0,1365.0,2382.0,2430.0,3423.0,,,4247.0,0.0,879712
101.0,DurationTime,2.0,-60.0,882737,0.0,727.0,749.0,763.0,1828.0,,,,,,2641.0,0.0,884628
102.0,Right,2.0,7.5,887639,0.0,711.0,732.0,751.0,1808.0,2823.0,2868.0,3470.0,3493.0,3596.0,4613.0,0.0,891523
103.0,Left,10.0,-60.0,894278,0.0,434.0,459.0,475.0,1548.0,2567.0,2612.0,4013.0,4036.0,,5265.0,0.0,899074
104.0,Right,2.0,15.0,902383,0.0,689.0,1023.0,1043.0,2106.0,3124.0,3171.0,5365.0,5388.0,5489.0,6506.0,0.0,907865
105.0,Right,10.0,7.5,910451,0.0,259.0,283.0,300.0,1378.0,2395.0,2444.0,3587.0,3610.0,3713.0,4729.0,0.0,914875
106.0,Right,10.0,60.0,917677,0.0,474.0,496.0,509.0,1585.0,2601.0,2647.0,4748.0,4771.0,4875.0,5895.0,0.0,923054
107.0,Left,10.0,-30.0,925817,0.0,454.0,478.0,493.0,1567.0,2584.0,2631.0,4327.0,4352.0,,5580.0,0.0,930917
108.0,Right,2.0,-15.0,934487,0.0,723.0,1287.0,1311.0,2371.0,3389.0,3436.0,4851.0,,,5675.0,0.0,938874
109.0,Left,10.0,-7.5,941608,0.0,272.0,452.0,464.0,1529.0,2543.0,2593.0,3746.0,3769.0,,5000.0,0.0,946154
110.0,DurationTime,2.0,-30.0,949144,0.0,691.0,711.0,727.0,1791.0,,,,,,2604.0,0.0,951034
111.0,DurationTime,2.0,-60.0,954075,0.0,737.0,760.0,774.0,1838.0,,,,,,2652.0,0.0,955967
112.0,Right,2.0,30.0,958954,0.0,689.0,710.0,728.0,1792.0,2811.0,2857.0,3539.0,3563.0,3664.0,4687.0,0.0,962954
113.0,Right,2.0,60.0,965952,0.0,697.0,720.0,732.0,1794.0,2810.0,2858.0,3970.0,3993.0,4096.0,5115.0,0.0,970355
114.0,Right,10.0,15.0,972948,0.0,256.0,279.0,291.0,1378.0,2395.0,2442.0,3232.0,3256.0,3358.0,4373.0,0.0,977040
115.0,Left,2.0,-30.0,980049,0.0,714.0,734.0,751.0,1813.0,2830.0,2877.0,3713.0,3736.0,,4966.0,0.0,984276
116.0,Left,2.0,-60.0,987306,0.0,727.0,750.0,766.0,1826.0,2846.0,2892.0,3596.0,3619.0,,4850.0,0.0,991407
117.0,Right,2.0,-7.5,994435,0.0,725.0,745.0,761.0,1825.0,2843.0,2891.0,3706.0,,,4533.0,0.0,998220
118.0,DurationTime,10.0,30.0,1001000,0.0,466.0,490.0,504.0,1575.0,,,,,,2389.0,0.0,1002890
119.0,DurationTime,10.0,30.0,1009661,0.0,442.0,4475.0,4491.0,5560.0,,,,,,6371.0,0.0,1011541
120.0,DurationTime,10.0,30.0,1014105,0.0,254.0,275.0,290.0,1361.0,,,,,,2174.0,0.0,1016004
121.0,Right,10.0,30.0,1040563,0.0,257.0,590.0,603.0,1682.0,2699.0,2747.0,5189.0,5212.0,5315.0,6332.0,0.0,1046292
122.0,Right,10.0,30.0,1049036,0.0,433.0,454.0,470.0,1543.0,2562.0,2607.0,3391.0,3414.0,3518.0,4536.0,0.0,1053104
123.0,Right,10.0,60.0,1055866,0.0,447.0,470.0,484.0,1555.0,2571.0,2619.0,2958.0,2980.0,3084.0,4102.0,0.0,1059514
124.0,Right,2.0,7.5,1062541,0.0,710.0,735.0,758.0,1815.0,2833.0,2880.0,3484.0,3507.0,3608.0,4624.0,0.0,1066424
125.0,Right,10.0,7.5,1069215,0.0,476.0,497.0,512.0,1590.0,2604.0,2655.0,2641.0,2664.0,2767.0,3781.0,0.0,1072486
126.0,Right,10.0,-7.5,1075046,0.0,250.0,273.0,290.0,1357.0,2374.0,2421.0,3109.0,,,3935.0,0.0,1078707
127.0,Right,2.0,15.0,1081705,0.0,690.0,711.0,726.0,1797.0,2814.0,2862.0,3409.0,3432.0,3535.0,4551.0,0.0,1085536
128.0,Left,10.0,-60.0,1088285,0.0,439.0,460.0,476.0,1556.0,2573.0,2624.0,2607.0,2640.0,,3868.0,0.0,1091687
129.0,Right,2.0,-30.0,1094737,0.0,737.0,761.0,780.0,1848.0,2867.0,2912.0,3925.0,,,4749.0,0.0,1098719
130.0,Right,2.0,-7.5,1101739,0.0,723.0,744.0,760.0,1819.0,2835.0,2880.0,3993.0,,,4820.0,0.0,1105817
131.0,Left,10.0,-30.0,1109797,0.0,270.0,1692.0,1708.0,2775.0,3792.0,3841.0,5248.0,5271.0,,6503.0,0.0,1114613
132.0,Right,2.0,30.0,1117594,0.0,689.0,712.0,730.0,1787.0,2802.0,2849.0,3688.0,3711.0,3813.0,4830.0,0.0,1121714
