Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,Right,10.0,-15.0,0.0,458.0,2474.0,2490.0,3564.0,4580.0,4625.0,5700.0,,,6528.0,0.0
2.0,Right,10.0,60.0,0.0,465.0,491.0,506.0,1579.0,2600.0,2651.0,2630.0,2665.0,2766.0,3783.0,0.0
3.0,Left,2.0,-60.0,0.0,715.0,1019.0,1039.0,2101.0,3121.0,3165.0,4076.0,4099.0,,5332.0,0.0
4.0,Right,2.0,-15.0,0.0,687.0,709.0,719.0,1783.0,2798.0,2848.0,3440.0,,,4264.0,0.0
5.0,Left,10.0,-60.0,0.0,466.0,490.0,504.0,1577.0,2594.0,2643.0,2628.0,2659.0,,3880.0,0.0
6.0,Right,10.0,15.0,0.0,470.0,1263.0,1279.0,2347.0,3366.0,3412.0,4558.0,4582.0,4684.0,5699.0,0.0
7.0,Right,2.0,7.5,0.0,694.0,714.0,727.0,1795.0,2810.0,2856.0,3693.0,3716.0,3818.0,4834.0,0.0
8.0,Right,10.0,30.0,0.0,453.0,476.0,486.0,1569.0,2586.0,2634.0,3785.0,3805.0,3910.0,4928.0,0.0
9.0,Right,2.0,30.0,0.0,691.0,714.0,728.0,1798.0,2815.0,2862.0,3448.0,3471.0,3574.0,4590.0,0.0
10.0,Right,2.0,15.0,0.0,727.0,751.0,771.0,1831.0,2849.0,2896.0,3659.0,3682.0,3784.0,4798.0,0.0
11.0,Right,2.0,60.0,0.0,720.0,741.0,758.0,1826.0,2845.0,2890.0,4091.0,4115.0,4216.0,5232.0,0.0
12.0,Left,2.0,-7.5,0.0,721.0,744.0,760.0,1824.0,2844.0,2887.0,4099.0,4122.0,,5350.0,0.0
13.0,Left,10.0,-30.0,0.0,463.0,486.0,500.0,1574.0,2590.0,2636.0,3381.0,3404.0,,4628.0,0.0
14.0,Right,10.0,7.5,0.0,263.0,284.0,299.0,1376.0,2392.0,2450.0,2427.0,2456.0,2556.0,3573.0,0.0
15.0,Right,2.0,-30.0,0.0,705.0,726.0,735.0,1811.0,2829.0,2876.0,2973.0,,,3797.0,0.0
16.0,DurationTime,10.0,-7.5,0.0,456.0,476.0,492.0,1570.0,,,,,,2384.0,0.0
17.0,Right,10.0,-7.5,0.0,249.0,270.0,284.0,1365.0,2382.0,2432.0,2415.0,,,3245.0,0.0
18.0,DurationTime,10.0,-7.5,0.0,440.0,462.0,474.0,1550.0,,,,,,2363.0,0.0
19.0,DurationTime,10.0,-30.0,0.0,256.0,279.0,293.0,1372.0,,,,,,2187.0,0.0
20.0,DurationTime,2.0,60.0,0.0,737.0,900.0,909.0,1978.0,,,,,,2792.0,0.0
21.0,Right,10.0,-15.0,0.0,479.0,3103.0,3120.0,4189.0,5204.0,5253.0,5892.0,,,6718.0,0.0
22.0,Right,10.0,30.0,0.0,258.0,280.0,295.0,1370.0,2388.0,2435.0,3622.0,3645.0,3747.0,4765.0,0.0
23.0,Right,2.0,60.0,0.0,730.0,2055.0,2076.0,3139.0,4155.0,4203.0,4363.0,4386.0,4489.0,5504.0,0.0
24.0,Left,10.0,-30.0,0.0,256.0,1951.0,1966.0,3031.0,4049.0,4097.0,5089.0,5112.0,,6346.0,0.0
