Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,DurationTime,10.0,15.0,1.0,453.0,5537.0,5557.0,6621.0,,,,,,7439.0,0.0
2.0,Right,2.0,7.5,0.0,712.0,936.0,949.0,2021.0,3045.0,3099.0,3867.0,3893.0,3995.0,5013.0,0.0
3.0,Left,2.0,-60.0,0.0,696.0,720.0,736.0,1806.0,2823.0,2870.0,3671.0,3695.0,,4904.0,0.0
4.0,Right,10.0,60.0,0.0,474.0,498.0,512.0,1585.0,2602.0,2649.0,3321.0,3344.0,3447.0,4464.0,0.0
5.0,Right,10.0,30.0,0.0,260.0,282.0,295.0,1378.0,2394.0,2441.0,3170.0,3194.0,3296.0,4313.0,0.0
6.0,Right,2.0,-30.0,0.0,708.0,1353.0,1372.0,2434.0,3452.0,3500.0,4277.0,,,5104.0,0.0
7.0,DurationTime,10.0,-15.0,0.0,455.0,480.0,495.0,1574.0,,,,,,2387.0,0.0
8.0,DurationTime,10.0,-15.0,0.0,457.0,1011.0,1027.0,2096.0,,,,,,2910.0,0.0
9.0,DurationTime,10.0,-60.0,0.0,439.0,464.0,479.0,1548.0,,,,,,2361.0,0.0
10.0,Right,10.0,7.5,0.0,260.0,283.0,297.0,1370.0,2386.0,2434.0,3171.0,3195.0,3296.0,4311.0,0.0
11.0,Right,2.0,15.0,0.0,699.0,760.0,772.0,1843.0,2860.0,2909.0,3766.0,3789.0,3890.0,4907.0,0.0
12.0,Right,2.0,-7.5,0.0,696.0,719.0,738.0,1798.0,2814.0,2861.0,3685.0,,,4511.0,0.0
13.0,Right,2.0,60.0,0.0,700.0,721.0,736.0,1796.0,2814.0,2860.0,3769.0,3792.0,3895.0,4911.0,0.0
14.0,Left,10.0,-15.0,0.0,249.0,272.0,284.0,1361.0,2377.0,2425.0,3405.0,3428.0,,4638.0,0.0
15.0,Left,2.0,-15.0,0.0,703.0,726.0,742.0,1810.0,2829.0,2875.0,3999.0,4022.0,,5233.0,0.0
16.0,Left,10.0,-60.0,0.0,432.0,456.0,470.0,1545.0,2561.0,2610.0,3834.0,3858.0,,5067.0,0.0
