,HEADING_DIRECTION,R_counts,counts
0,-60.0,4,21
1,-30.0,5,15
2,-15.0,4,14
3,-7.5,7,16
4,7.5,11,18
5,15.0,12,15
6,30.0,13,14
7,60.0,14,16
