,HEADING_DIRECTION,R_counts,counts
0,-60.0,55,535
1,-30.0,50,505
2,-15.0,80,560
3,-7.5,185,535
4,7.5,230,515
5,15.0,275,515
6,30.0,350,530
7,60.0,400,575
