,HEADING_DIRECTION,R_counts,counts
0,-60.0,60,525
1,-30.0,75,485
2,-15.0,70,485
3,-7.5,195,485
4,7.5,255,500
5,15.0,315,510
6,30.0,370,480
7,60.0,400,500
