,HEADING_DIRECTION,R_counts,counts
0,-60.0,256,2048
1,-30.0,256,1936
2,-15.0,480,2464
3,-7.5,592,2080
4,7.5,848,2160
5,15.0,944,2032
6,30.0,1056,2128
7,60.0,1312,2080
