,HEADING_DIRECTION,R_counts,counts
0,-60.0,272,1904
1,-30.0,352,1872
2,-15.0,560,1808
3,-7.5,560,1648
4,7.5,800,1920
5,15.0,816,2048
6,30.0,1184,1904
7,60.0,1168,1792
