,HEADING_DIRECTION,R_counts,counts
0,-60.0,3,23
1,-30.0,4,25
2,-15.0,13,26
3,-7.5,16,23
4,7.5,13,23
5,15.0,19,27
6,30.0,21,23
7,60.0,21,22
