,HEADING_DIRECTION,R_counts,counts
0,-60.0,2,19
1,-30.0,5,20
2,-15.0,6,23
3,-7.5,7,19
4,7.5,11,21
5,15.0,13,23
6,30.0,14,23
7,60.0,17,22
