Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,Left,2.0,30.0,1.0,746.0,3751.0,3774.0,4874.0,5897.0,5949.0,6647.0,,,7478.0,0.0
2.0,Left,2.0,60.0,0.0,703.0,726.0,744.0,1812.0,2826.0,2875.0,3424.0,,,4247.0,0.0
3.0,Right,2.0,-7.5,0.0,703.0,725.0,738.0,1801.0,2817.0,2865.0,3443.0,,,4264.0,0.0
4.0,Right,2.0,7.5,0.0,698.0,721.0,738.0,1796.0,2817.0,2861.0,3398.0,3422.0,3522.0,4537.0,0.0
5.0,DurationTime,2.0,-30.0,0.0,697.0,720.0,737.0,1800.0,,,,,,2613.0,0.0
6.0,Left,2.0,-30.0,0.0,705.0,727.0,743.0,1811.0,2829.0,2876.0,3351.0,3375.0,,4542.0,0.0
7.0,Left,2.0,-60.0,0.0,701.0,784.0,803.0,1861.0,2880.0,2925.0,3323.0,3347.0,,4514.0,0.0
8.0,Right,2.0,-15.0,0.0,724.0,748.0,772.0,1834.0,2852.0,2904.0,2885.0,,,3715.0,0.0
9.0,DurationTime,2.0,15.0,0.0,721.0,745.0,762.0,1822.0,,,,,,2632.0,0.0
10.0,Right,2.0,15.0,0.0,726.0,749.0,763.0,1826.0,2845.0,2890.0,3329.0,3352.0,3455.0,4473.0,0.0
11.0,Right,2.0,30.0,0.0,700.0,723.0,734.0,1801.0,2817.0,2867.0,3505.0,3529.0,3631.0,4649.0,0.0
12.0,Right,2.0,15.0,0.0,704.0,727.0,740.0,1802.0,2819.0,2865.0,3404.0,3427.0,3529.0,4545.0,0.0
13.0,Left,2.0,-30.0,0.0,742.0,766.0,784.0,1843.0,2860.0,2907.0,3454.0,3478.0,,4647.0,0.0
14.0,Right,2.0,60.0,0.0,690.0,712.0,731.0,1793.0,2813.0,2858.0,3361.0,3384.0,3487.0,4506.0,0.0
15.0,Left,2.0,-15.0,0.0,687.0,709.0,721.0,1790.0,2808.0,2853.0,3518.0,3541.0,,4709.0,0.0
16.0,Left,2.0,-60.0,0.0,693.0,716.0,732.0,1796.0,2814.0,2861.0,3527.0,3550.0,,4721.0,0.0
17.0,Right,2.0,7.5,0.0,738.0,763.0,779.0,1844.0,2863.0,2908.0,3581.0,3604.0,3706.0,4720.0,0.0
18.0,Left,2.0,-7.5,0.0,699.0,722.0,736.0,1798.0,2817.0,2864.0,3429.0,3451.0,,4623.0,0.0
19.0,Right,2.0,15.0,0.0,693.0,713.0,729.0,1793.0,2811.0,2859.0,3649.0,3673.0,3774.0,4789.0,0.0
20.0,Left,2.0,-60.0,0.0,713.0,4177.0,4197.0,5264.0,6285.0,6328.0,6895.0,6918.0,,8087.0,0.0
21.0,Right,2.0,60.0,0.0,719.0,740.0,754.0,1815.0,2832.0,2879.0,3533.0,3557.0,3659.0,4678.0,0.0
22.0,Right,2.0,7.5,0.0,727.0,751.0,765.0,1827.0,2846.0,2890.0,3505.0,3527.0,3629.0,4643.0,0.0
23.0,Right,2.0,-7.5,0.0,715.0,738.0,756.0,1820.0,2840.0,2885.0,3464.0,,,4289.0,0.0
24.0,Left,2.0,-30.0,0.0,737.0,761.0,775.0,1837.0,2852.0,2898.0,3488.0,3511.0,,4684.0,0.0
25.0,Left,2.0,-15.0,0.0,731.0,754.0,774.0,1842.0,2860.0,2907.0,3534.0,3557.0,,4729.0,0.0
26.0,Right,2.0,30.0,0.0,729.0,754.0,773.0,1842.0,2861.0,2906.0,3507.0,3531.0,3632.0,4649.0,0.0
27.0,Right,2.0,30.0,0.0,719.0,742.0,756.0,1817.0,2834.0,2883.0,3729.0,3753.0,3857.0,4877.0,0.0
28.0,Left,2.0,-30.0,0.0,732.0,756.0,774.0,1835.0,2855.0,2900.0,3390.0,3412.0,,4582.0,0.0
29.0,Left,2.0,-15.0,1.0,703.0,726.0,739.0,1811.0,2832.0,2878.0,3416.0,3440.0,,4610.0,0.0
30.0,Right,2.0,15.0,0.0,715.0,739.0,754.0,1820.0,2836.0,2884.0,3686.0,3709.0,3812.0,4832.0,0.0
31.0,Right,2.0,7.5,0.0,715.0,738.0,753.0,1812.0,2831.0,2876.0,3501.0,3525.0,3627.0,4644.0,0.0
32.0,Right,2.0,60.0,0.0,725.0,748.0,762.0,1828.0,2846.0,2893.0,3580.0,3603.0,3706.0,4723.0,0.0
33.0,DurationTime,2.0,-60.0,0.0,731.0,1505.0,1526.0,2586.0,,,,,,3399.0,0.0
34.0,Right,2.0,-7.5,0.0,726.0,748.0,760.0,1823.0,2838.0,2886.0,3377.0,,,4202.0,0.0
35.0,Left,2.0,-60.0,0.0,693.0,715.0,731.0,1793.0,2812.0,2863.0,2844.0,2878.0,,4046.0,0.0
36.0,Right,2.0,15.0,0.0,711.0,734.0,750.0,1815.0,2836.0,2880.0,3500.0,3523.0,3625.0,4645.0,0.0
37.0,Left,2.0,60.0,0.0,710.0,734.0,753.0,1816.0,2835.0,2880.0,3340.0,,,4164.0,0.0
38.0,Right,2.0,30.0,0.0,724.0,745.0,767.0,1830.0,2850.0,2896.0,3538.0,3561.0,3662.0,4679.0,0.0
39.0,Left,2.0,-30.0,0.0,691.0,713.0,734.0,1793.0,2814.0,2855.0,3296.0,3320.0,,4490.0,0.0
40.0,Left,2.0,-15.0,0.0,741.0,762.0,777.0,1843.0,2861.0,2908.0,3511.0,3533.0,,4703.0,0.0
41.0,DurationTime,2.0,-7.5,0.0,722.0,742.0,758.0,1818.0,,,,,,2631.0,0.0
42.0,Left,2.0,-7.5,0.0,726.0,749.0,770.0,1827.0,2845.0,2893.0,3450.0,3473.0,,4643.0,0.0
43.0,Left,2.0,-60.0,0.0,733.0,753.0,770.0,1830.0,2849.0,2894.0,3380.0,3404.0,,4574.0,0.0
44.0,Right,2.0,7.5,0.0,690.0,712.0,723.0,1790.0,2805.0,2853.0,3590.0,3613.0,3712.0,4729.0,0.0
45.0,Right,2.0,7.5,0.0,721.0,744.0,755.0,1829.0,2845.0,2893.0,3595.0,3618.0,3721.0,4740.0,0.0
46.0,Right,2.0,-15.0,0.0,692.0,716.0,731.0,1793.0,2812.0,2857.0,4306.0,,,5130.0,0.0
47.0,Right,2.0,30.0,0.0,705.0,729.0,744.0,1806.0,2825.0,2871.0,3567.0,3590.0,3694.0,4713.0,0.0
48.0,Left,2.0,-7.5,0.0,735.0,758.0,776.0,1841.0,2856.0,2906.0,3415.0,3438.0,,4610.0,0.0
49.0,Left,2.0,-60.0,0.0,699.0,720.0,736.0,1799.0,2818.0,2863.0,3829.0,3853.0,,5021.0,0.0
50.0,Right,2.0,60.0,0.0,699.0,719.0,735.0,1791.0,2809.0,2858.0,3594.0,3618.0,3720.0,4742.0,0.0
51.0,Right,2.0,15.0,0.0,705.0,723.0,735.0,1800.0,2817.0,2861.0,3915.0,3939.0,4041.0,5058.0,0.0
52.0,Left,2.0,-30.0,0.0,710.0,733.0,749.0,1810.0,2827.0,2874.0,3560.0,3583.0,,4752.0,0.0
53.0,Left,2.0,-60.0,0.0,728.0,752.0,771.0,1838.0,2857.0,2903.0,3299.0,3321.0,,4493.0,0.0
54.0,Left,2.0,-15.0,0.0,730.0,754.0,769.0,1831.0,2849.0,2897.0,2882.0,2910.0,,4078.0,0.0
55.0,Left,2.0,30.0,0.0,719.0,740.0,755.0,1814.0,2832.0,2880.0,3429.0,,,4255.0,0.0
56.0,Right,2.0,15.0,0.0,713.0,737.0,754.0,1819.0,2837.0,2884.0,3682.0,3703.0,3808.0,4825.0,0.0
57.0,Left,2.0,-30.0,0.0,723.0,745.0,758.0,1826.0,2841.0,2890.0,3438.0,3461.0,,4636.0,0.0
58.0,Right,2.0,60.0,0.0,713.0,736.0,752.0,1820.0,2837.0,2884.0,3539.0,3562.0,3665.0,4684.0,0.0
59.0,Right,2.0,-7.5,0.0,709.0,730.0,747.0,1810.0,2828.0,2874.0,3589.0,,,4412.0,0.0
60.0,DurationTime,2.0,7.5,0.0,705.0,729.0,745.0,1805.0,,,,,,2618.0,0.0
61.0,DurationTime,2.0,7.5,0.0,703.0,724.0,739.0,1803.0,,,,,,2619.0,0.0
62.0,Left,2.0,7.5,0.0,717.0,741.0,759.0,1817.0,2833.0,2884.0,2868.0,,,3699.0,0.0
63.0,Right,2.0,60.0,0.0,738.0,1823.0,1839.0,2904.0,3926.0,3969.0,4988.0,5011.0,5111.0,6129.0,0.0
64.0,Left,2.0,-15.0,0.0,740.0,763.0,779.0,1846.0,2864.0,2911.0,3409.0,3433.0,,4599.0,0.0
65.0,Right,2.0,30.0,0.0,724.0,746.0,760.0,1821.0,2841.0,2886.0,3428.0,3451.0,3554.0,4571.0,0.0
66.0,Left,2.0,-30.0,0.0,721.0,744.0,763.0,1828.0,2847.0,2894.0,3429.0,3453.0,,4619.0,0.0
