Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,DurationTime,10.0,-30.0,0.0,251.0,5808.0,5830.0,6892.0,,,,,,7709.0,0.0
2.0,Right,2.0,60.0,0.0,699.0,720.0,737.0,1799.0,2820.0,2873.0,4092.0,4119.0,4218.0,5236.0,0.0
3.0,Left,2.0,-7.5,0.0,690.0,1550.0,1563.0,2628.0,3645.0,3692.0,4659.0,4683.0,,5891.0,0.0
4.0,Left,2.0,-60.0,0.0,688.0,712.0,738.0,1795.0,2810.0,2858.0,3131.0,3154.0,,4364.0,0.0
5.0,Left,2.0,-30.0,0.0,693.0,717.0,729.0,1795.0,2811.0,2860.0,3155.0,3179.0,,4397.0,0.0
6.0,Right,10.0,15.0,0.0,460.0,484.0,500.0,1570.0,2586.0,2632.0,3252.0,3275.0,3376.0,4387.0,0.0
7.0,Left,10.0,-15.0,0.0,284.0,305.0,320.0,1397.0,2412.0,2460.0,3329.0,3353.0,,4560.0,0.0
8.0,Right,2.0,30.0,0.0,692.0,716.0,731.0,1795.0,2812.0,2860.0,3974.0,3997.0,4100.0,5119.0,0.0
9.0,Left,2.0,-15.0,0.0,718.0,742.0,758.0,1821.0,2837.0,2885.0,3444.0,3467.0,,4674.0,0.0
10.0,Left,10.0,-30.0,0.0,440.0,464.0,483.0,1548.0,2564.0,2614.0,3570.0,3594.0,,4802.0,0.0
11.0,Right,10.0,60.0,0.0,441.0,463.0,479.0,1551.0,2567.0,2615.0,4286.0,4309.0,4409.0,5425.0,0.0
12.0,Right,2.0,15.0,2.0,705.0,729.0,748.0,1808.0,2828.0,2872.0,4223.0,4246.0,4347.0,5364.0,0.0
13.0,DurationTime,10.0,-7.5,0.0,253.0,276.0,290.0,1359.0,,,,,,2173.0,0.0
14.0,Left,2.0,7.5,0.0,693.0,1787.0,1800.0,2865.0,3881.0,3930.0,3915.0,,,4740.0,0.0
15.0,Right,10.0,-60.0,0.0,445.0,6721.0,6734.0,7799.0,8816.0,8865.0,10752.0,,,11577.0,0.0
16.0,DurationTime,10.0,7.5,0.0,466.0,489.0,500.0,1577.0,,,,,,2392.0,0.0
17.0,Right,10.0,-7.5,0.0,455.0,5739.0,5760.0,6824.0,7842.0,7890.0,7972.0,,,8797.0,0.0
18.0,Right,10.0,7.5,0.0,465.0,3428.0,3445.0,4505.0,5522.0,5569.0,6543.0,6564.0,6667.0,7684.0,0.0
19.0,Right,10.0,30.0,0.0,466.0,489.0,504.0,1574.0,2590.0,2638.0,3923.0,3946.0,4049.0,5063.0,0.0
20.0,Left,10.0,-30.0,0.0,261.0,322.0,333.0,1399.0,2415.0,2463.0,3323.0,3347.0,,4554.0,0.0
21.0,Left,2.0,-60.0,0.0,751.0,772.0,787.0,1849.0,2866.0,2915.0,3496.0,3519.0,,4729.0,0.0
22.0,Right,2.0,7.5,0.0,710.0,734.0,748.0,1817.0,2833.0,2881.0,4016.0,4039.0,4139.0,5156.0,0.0
23.0,Left,2.0,-30.0,0.0,690.0,1444.0,1468.0,2530.0,3548.0,3592.0,4709.0,4732.0,,5944.0,0.0
24.0,Right,2.0,60.0,0.0,704.0,727.0,744.0,1810.0,2826.0,2874.0,3848.0,3871.0,3974.0,4993.0,0.0
25.0,Right,2.0,30.0,0.0,717.0,841.0,854.0,1919.0,2935.0,2983.0,4091.0,4114.0,4214.0,5228.0,0.0
26.0,Left,10.0,-60.0,0.0,451.0,474.0,487.0,1558.0,2574.0,2622.0,2690.0,2714.0,,3925.0,0.0
