,HEADING_DIRECTION,R_counts,counts
0,-60.0,1,29
1,-30.0,8,22
2,-15.0,7,22
3,-7.5,12,26
4,7.5,13,29
5,15.0,19,22
6,30.0,18,21
7,60.0,21,26
