Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,3859
2,2,2,0000000000010,0000000000010,6865,10866
3,2,2,0000000000011,0000000000010,13892,17933
4,4,4,0000000000100,0000000000100,20942,24856
5,4,4,0000000000101,0000000000100,27861,31989
6,4,4,0000000000110,0000000000100,35009,39063
7,4,4,0000000000111,0000000000100,42064,46041
8,8,8,0000000001000,0000000001000,49044,53054
9,8,8,0000000001001,0000000001000,56077,60137
10,8,8,0000000001010,0000000001000,63141,67036
11,8,8,0000000001011,0000000001000,70026,73946
12,8,8,0000000001100,0000000001000,76968,80965
13,8,8,0000000001101,0000000001000,83989,87891
14,8,8,0000000001110,0000000001000,90899,94792
15,8,8,0000000001111,0000000001000,97796,101456
16,16,16,0000000010000,0000000010000,104500,106387
17,16,16,0000000010001,0000000010000,109386,111285
18,16,16,0000000010010,0000000010000,114274,118276
19,16,16,0000000010011,0000000010000,121277,125058
20,16,16,0000000010100,0000000010000,128100,131061
21,16,16,0000000010101,0000000010000,134089,137985
22,16,16,0000000010110,0000000010000,141209,145065
23,16,16,0000000010111,0000000010000,154367,158233
24,16,16,0000000011000,0000000010000,161258,165012
25,16,16,0000000011001,0000000010000,168036,171908
26,16,16,0000000011010,0000000010000,174895,178858
27,16,16,0000000011011,0000000010000,181860,183750
28,16,16,0000000011100,0000000010000,186769,188665
29,16,16,0000000011101,0000000010000,192749,196725
30,16,16,0000000011110,0000000010000,199768,203733
31,16,16,0000000011111,0000000010000,206758,210816
32,32,32,0000000100000,0000000100000,213861,217664
33,32,32,0000000100001,0000000100000,220704,224183
34,34,32,0000000100010,0000000100010,227217,231197
35,34,32,0000000100011,0000000100010,234187,237801
36,32,32,0000000100100,0000000100000,240785,244573
37,32,32,0000000100101,0000000100000,247613,251549
38,34,32,0000000100110,0000000100010,254589,258806
39,34,32,0000000100111,0000000100010,261827,265806
40,40,32,0000000101000,0000000101000,268809,273015
41,40,32,0000000101001,0000000101000,276020,280215
42,34,32,0000000101010,0000000100010,283222,287358
43,32,32,0000000101011,0000000100000,290386,294087
44,32,32,0000000101100,0000000100000,297117,301090
45,32,32,0000000101101,0000000100000,304126,308066
46,34,32,0000000101110,0000000100010,318915,322864
47,32,32,0000000101111,0000000100000,325900,329848
48,32,32,0000000110000,0000000100000,332876,336909
49,32,32,0000000110001,0000000100000,339936,343476
50,34,32,0000000110010,0000000100010,346503,350505
51,34,32,0000000110011,0000000100010,353667,357187
52,32,32,0000000110100,0000000100000,361816,365458
53,32,32,0000000110101,0000000100000,368502,373218
54,34,32,0000000110110,0000000100010,380222,384203
55,34,32,0000000110111,0000000100010,387253,391226
56,32,32,0000000111000,0000000100000,403023,407047
57,40,32,0000000111001,0000000101000,412477,416311
58,40,32,0000000111010,0000000101000,419355,423032
59,40,32,0000000111011,0000000101000,426060,427953
60,40,32,0000000111100,0000000101000,431904,435852
61,32,32,0000000111101,0000000100000,438865,442766
62,34,32,0000000111110,0000000100010,445775,449878
63,32,32,0000000111111,0000000100000,452968,454856
64,64,64,0000001000000,0000001000000,457916,459824
65,64,64,0000001000001,0000001000000,469310,471203
66,64,64,0000001000010,0000001000000,474227,476118
67,64,64,0000001000011,0000001000000,479143,483124
68,64,64,0000001000100,0000001000000,486114,489613
69,64,64,0000001000101,0000001000000,492635,497298
70,64,64,0000001000110,0000001000000,500307,504370
71,64,64,0000001000111,0000001000000,507377,509271
72,64,64,0000001001000,0000001000000,512275,516290
73,64,64,0000001001001,0000001000000,520078,523972
74,64,64,0000001001010,0000001000000,528440,532355
75,64,64,0000001001011,0000001000000,535384,539486
76,64,64,0000001001100,0000001000000,542499,546207
77,64,64,0000001001101,0000001000000,549228,553215
78,64,64,0000001001110,0000001000000,556298,558193
79,64,64,0000001001111,0000001000000,561194,565282
80,64,64,0000001010000,0000001000000,568295,571992
81,64,64,0000001010001,0000001000000,575021,579280
