Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,Left,2.0,-30.0,1.0,708.0,1190.0,1206.0,2270.0,3289.0,3341.0,3855.0,3880.0,,5054.0,0.0
2.0,Left,2.0,-15.0,0.0,707.0,729.0,744.0,1807.0,2823.0,2870.0,3499.0,3523.0,,4698.0,0.0
3.0,Left,2.0,-7.5,0.0,715.0,738.0,751.0,1816.0,2834.0,2880.0,3549.0,3572.0,,4760.0,0.0
4.0,Right,2.0,60.0,0.0,713.0,733.0,750.0,1808.0,2824.0,2874.0,3499.0,3520.0,3624.0,4643.0,0.0
5.0,Left,2.0,-60.0,0.0,701.0,720.0,734.0,1803.0,2822.0,2868.0,3613.0,3636.0,,4826.0,0.0
6.0,Right,2.0,30.0,0.0,714.0,738.0,759.0,1815.0,2834.0,2880.0,3647.0,3671.0,3772.0,4790.0,0.0
7.0,Right,2.0,7.5,0.0,700.0,722.0,739.0,1799.0,2815.0,2862.0,3558.0,3582.0,3681.0,4701.0,0.0
8.0,Right,2.0,15.0,0.0,696.0,720.0,732.0,1803.0,2819.0,2867.0,3583.0,3608.0,3710.0,4727.0,0.0
9.0,Left,2.0,-15.0,0.0,730.0,752.0,770.0,1831.0,2849.0,2897.0,3596.0,3620.0,,4810.0,0.0
10.0,Right,2.0,30.0,0.0,696.0,719.0,735.0,1800.0,2820.0,2865.0,3476.0,3499.0,3602.0,4618.0,0.0
11.0,Left,2.0,-7.5,0.0,687.0,710.0,730.0,1789.0,2806.0,2853.0,3420.0,3443.0,,4635.0,0.0
12.0,Left,2.0,-60.0,0.0,718.0,741.0,760.0,1814.0,2834.0,2878.0,3520.0,3543.0,,4729.0,0.0
13.0,Right,2.0,60.0,0.0,726.0,749.0,760.0,1827.0,2844.0,2893.0,3508.0,3531.0,3634.0,4651.0,0.0
14.0,Right,2.0,15.0,0.0,706.0,729.0,745.0,1810.0,2829.0,2874.0,3473.0,3496.0,3599.0,4615.0,0.0
15.0,Right,2.0,-30.0,0.0,703.0,725.0,740.0,1798.0,2813.0,2860.0,3529.0,,,4355.0,0.0
16.0,DurationTime,2.0,7.5,0.0,730.0,754.0,774.0,1837.0,,,,,,2651.0,0.0
17.0,DurationTime,2.0,7.5,0.0,696.0,719.0,730.0,1797.0,,,,,,2612.0,0.0
18.0,Right,2.0,7.5,0.0,690.0,714.0,735.0,1790.0,2808.0,2857.0,3571.0,3594.0,3695.0,4713.0,0.0
19.0,Right,2.0,-15.0,0.0,693.0,713.0,735.0,1799.0,2816.0,2864.0,3682.0,,,4508.0,0.0
20.0,Left,2.0,30.0,0.0,735.0,758.0,777.0,1839.0,2857.0,2906.0,2890.0,,,3722.0,0.0
21.0,Right,2.0,7.5,0.0,724.0,747.0,763.0,1827.0,2845.0,2891.0,3499.0,3522.0,3622.0,4640.0,0.0
22.0,Right,2.0,15.0,0.0,691.0,943.0,955.0,2019.0,3033.0,3083.0,3656.0,3679.0,3782.0,4800.0,0.0
23.0,Left,2.0,-30.0,0.0,697.0,7012.0,7033.0,8097.0,9115.0,9163.0,9671.0,9695.0,,10885.0,0.0
24.0,Right,2.0,-7.5,0.0,725.0,745.0,761.0,1829.0,2848.0,2897.0,3677.0,,,4503.0,0.0
25.0,Left,2.0,-60.0,0.0,713.0,737.0,756.0,1821.0,2836.0,2885.0,3406.0,3430.0,,4618.0,0.0
26.0,Right,2.0,60.0,0.0,687.0,708.0,722.0,1783.0,2799.0,2848.0,3523.0,3546.0,3650.0,4667.0,0.0
27.0,DurationTime,2.0,-60.0,0.0,701.0,724.0,744.0,1799.0,,,,,,2612.0,0.0
28.0,DurationTime,2.0,7.5,0.0,722.0,743.0,755.0,1816.0,,,,,,2631.0,0.0
29.0,Left,2.0,-15.0,0.0,725.0,1799.0,1819.0,2886.0,3903.0,3950.0,4573.0,4596.0,,5785.0,0.0
30.0,Left,2.0,-60.0,0.0,737.0,759.0,773.0,1842.0,2860.0,2905.0,3515.0,3537.0,,4726.0,0.0
31.0,Right,2.0,60.0,0.0,715.0,738.0,756.0,1826.0,2843.0,2890.0,3666.0,3688.0,3789.0,4805.0,0.0
32.0,Right,2.0,30.0,0.0,731.0,755.0,776.0,1840.0,2858.0,2905.0,3425.0,3448.0,3550.0,4565.0,0.0
33.0,Left,2.0,15.0,0.0,729.0,750.0,766.0,1828.0,2845.0,2889.0,3408.0,,,4234.0,0.0
34.0,Left,2.0,-30.0,0.0,723.0,747.0,760.0,1829.0,2846.0,2893.0,3485.0,3509.0,,4703.0,0.0
35.0,Right,2.0,-7.5,0.0,696.0,717.0,730.0,1800.0,2818.0,2865.0,3498.0,,,4322.0,0.0
36.0,Right,2.0,7.5,0.0,688.0,709.0,724.0,1787.0,2802.0,2850.0,3358.0,3381.0,3481.0,4496.0,0.0
37.0,Right,2.0,7.5,0.0,733.0,754.0,768.0,1829.0,2849.0,2894.0,3554.0,3577.0,3678.0,4694.0,0.0
38.0,Right,2.0,60.0,0.0,732.0,756.0,775.0,1840.0,2859.0,2905.0,3832.0,3855.0,3956.0,4973.0,0.0
39.0,Right,2.0,30.0,0.0,723.0,743.0,760.0,1820.0,2837.0,2886.0,3555.0,3578.0,3679.0,4697.0,0.0
40.0,Left,2.0,-30.0,0.0,696.0,717.0,735.0,1794.0,2811.0,2858.0,3708.0,3731.0,,4924.0,0.0
