,HEADING_DIRECTION,R_counts,counts
0,-60.0,3,19
1,-30.0,2,20
2,-15.0,5,19
3,-7.5,5,19
4,7.5,15,23
5,15.0,17,20
6,30.0,20,20
7,60.0,19,19
