,HEADING_DIRECTION,R_counts,counts
0,-60.0,0,14
1,-30.0,1,11
2,-15.0,1,12
3,-7.5,4,11
4,7.5,6,11
5,15.0,6,10
6,30.0,9,11
7,60.0,11,11
