Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,DurationTime,2.0,7.5,1.0,706.0,4609.0,4623.0,5686.0,,,,,,6497.0,0.0
2.0,DurationTime,10.0,-60.0,0.0,469.0,929.0,943.0,2010.0,,,,,,2824.0,0.0
3.0,Right,2.0,7.5,0.0,735.0,759.0,770.0,1840.0,2862.0,2911.0,4905.0,4931.0,5032.0,6049.0,0.0
4.0,Left,2.0,15.0,0.0,695.0,720.0,732.0,1799.0,2812.0,2862.0,3286.0,,,4112.0,0.0
5.0,DurationTime,2.0,60.0,0.0,729.0,752.0,766.0,1831.0,,,,,,2640.0,0.0
6.0,Left,2.0,30.0,0.0,705.0,726.0,741.0,1807.0,2823.0,2871.0,3240.0,,,4064.0,0.0
7.0,DurationTime,2.0,60.0,0.0,727.0,749.0,763.0,1903.0,,,,,,2712.0,0.0
8.0,Left,10.0,-60.0,0.0,263.0,283.0,295.0,1374.0,2390.0,2436.0,3804.0,3828.0,,5039.0,0.0
9.0,Left,10.0,-15.0,0.0,271.0,1752.0,1765.0,2828.0,3841.0,3889.0,5705.0,5729.0,,6941.0,0.0
10.0,Left,2.0,-60.0,0.0,710.0,1624.0,1638.0,2705.0,3722.0,3770.0,5800.0,5823.0,,7032.0,0.0
11.0,Left,10.0,-30.0,0.0,257.0,881.0,898.0,1963.0,2979.0,3029.0,4491.0,4514.0,,5726.0,0.0
12.0,Right,10.0,60.0,0.0,454.0,657.0,672.0,1737.0,2750.0,2802.0,3783.0,3807.0,3906.0,4921.0,0.0
13.0,Left,10.0,-7.5,0.0,256.0,1600.0,1617.0,2680.0,3700.0,3745.0,5454.0,5478.0,,6693.0,0.0
14.0,Right,10.0,30.0,0.0,255.0,929.0,945.0,2006.0,3023.0,3071.0,4966.0,4989.0,5092.0,6109.0,0.0
15.0,Left,2.0,-7.5,0.0,729.0,750.0,767.0,1829.0,2845.0,2893.0,3848.0,3871.0,,5079.0,0.0
16.0,Right,2.0,-30.0,0.0,722.0,745.0,763.0,1828.0,2846.0,2893.0,5217.0,,,6043.0,0.0
17.0,Left,10.0,7.5,0.0,253.0,276.0,288.0,1366.0,2385.0,2431.0,3359.0,,,4186.0,0.0
18.0,Right,2.0,60.0,0.0,734.0,756.0,771.0,1838.0,2854.0,2902.0,5881.0,5904.0,6008.0,7025.0,0.0
19.0,Left,2.0,-15.0,0.0,698.0,1191.0,1208.0,2268.0,3288.0,3332.0,4705.0,4729.0,,5942.0,0.0
20.0,Right,10.0,15.0,0.0,255.0,279.0,293.0,1369.0,2385.0,2433.0,3630.0,3653.0,3756.0,4774.0,0.0
21.0,Left,2.0,-30.0,0.0,688.0,712.0,727.0,1797.0,2811.0,2860.0,4118.0,4141.0,,5346.0,0.0
22.0,Right,2.0,60.0,0.0,748.0,830.0,851.0,1905.0,2920.0,2968.0,4425.0,4449.0,4551.0,5567.0,0.0
23.0,Left,2.0,-15.0,0.0,699.0,1684.0,1709.0,2765.0,3781.0,3829.0,5205.0,5229.0,,6441.0,0.0
24.0,Right,2.0,15.0,0.0,700.0,1083.0,1097.0,2161.0,3178.0,3226.0,4645.0,4669.0,4771.0,5788.0,0.0
25.0,NoDecision,2.0,7.5,0.0,692.0,716.0,733.0,1798.0,2813.0,2859.0,,,,6663.0,0.0
26.0,Right,10.0,7.5,0.0,465.0,488.0,501.0,1570.0,2591.0,2634.0,3230.0,3253.0,3356.0,4373.0,0.0
27.0,Left,2.0,-60.0,0.0,699.0,721.0,737.0,1806.0,2823.0,2871.0,4257.0,4281.0,,5494.0,0.0
28.0,Right,2.0,-7.5,0.0,719.0,741.0,753.0,1819.0,2833.0,2882.0,4397.0,,,5224.0,0.0
29.0,Left,10.0,30.0,0.0,260.0,283.0,295.0,1369.0,2385.0,2432.0,2485.0,,,3312.0,0.0
30.0,Right,10.0,-30.0,0.0,258.0,282.0,297.0,1373.0,2392.0,2438.0,3071.0,,,3895.0,0.0
31.0,Right,2.0,7.5,0.0,690.0,714.0,734.0,1799.0,2817.0,2863.0,3272.0,3296.0,3397.0,4413.0,0.0
32.0,Right,10.0,15.0,0.0,261.0,322.0,334.0,1405.0,2421.0,2471.0,3316.0,3339.0,3442.0,4458.0,0.0
33.0,Right,10.0,60.0,0.0,453.0,476.0,489.0,1563.0,2580.0,2628.0,3396.0,3419.0,3522.0,4538.0,0.0
34.0,Left,10.0,-60.0,0.0,268.0,352.0,368.0,1429.0,2447.0,2494.0,3517.0,3540.0,,4751.0,0.0
35.0,Right,2.0,30.0,0.0,687.0,710.0,726.0,1790.0,2806.0,2854.0,2918.0,2942.0,3046.0,4063.0,0.0
36.0,Left,10.0,-15.0,0.0,269.0,471.0,484.0,1545.0,2563.0,2608.0,4480.0,4504.0,,5713.0,0.0
37.0,Left,10.0,-7.5,0.0,265.0,288.0,302.0,1375.0,2391.0,2440.0,3144.0,3167.0,,4375.0,0.0
38.0,Right,10.0,60.0,0.0,271.0,353.0,367.0,1424.0,2441.0,2488.0,3341.0,3364.0,3465.0,4481.0,0.0
39.0,Right,2.0,15.0,0.0,690.0,712.0,726.0,1789.0,2804.0,2853.0,3230.0,3253.0,3355.0,4376.0,0.0
40.0,NoDecision,10.0,30.0,0.0,266.0,289.0,302.0,1374.0,2386.0,2438.0,,,,6239.0,0.0
41.0,Left,10.0,-15.0,0.0,442.0,1043.0,1055.0,2114.0,3130.0,3178.0,5171.0,5194.0,,6406.0,0.0
42.0,Left,10.0,-7.5,0.0,454.0,474.0,490.0,1569.0,2586.0,2633.0,3612.0,3636.0,,4848.0,0.0
43.0,Right,2.0,-30.0,0.0,730.0,752.0,765.0,1826.0,2843.0,2889.0,3830.0,,,4656.0,0.0
44.0,Left,10.0,-60.0,0.0,432.0,454.0,466.0,1545.0,2564.0,2617.0,2596.0,2633.0,,3835.0,0.0
45.0,Right,2.0,60.0,0.0,710.0,733.0,750.0,1816.0,2836.0,2881.0,4060.0,4084.0,4186.0,5203.0,0.0
46.0,Left,2.0,-7.5,0.0,745.0,769.0,781.0,1842.0,2859.0,2904.0,3493.0,3517.0,,4726.0,0.0
47.0,Right,2.0,-15.0,0.0,714.0,737.0,752.0,1816.0,2833.0,2877.0,4091.0,,,4915.0,0.0
48.0,Left,2.0,-60.0,0.0,726.0,749.0,765.0,1832.0,2850.0,2898.0,2884.0,2911.0,,4117.0,0.0
49.0,Right,10.0,15.0,0.0,265.0,288.0,301.0,1381.0,2399.0,2443.0,3384.0,3408.0,3510.0,4525.0,0.0
50.0,Right,2.0,30.0,0.0,723.0,747.0,763.0,1822.0,2839.0,2886.0,3732.0,3756.0,3858.0,4878.0,0.0
51.0,Right,10.0,30.0,0.0,450.0,861.0,875.0,1937.0,2953.0,3002.0,4519.0,4543.0,4644.0,5663.0,0.0
52.0,Left,10.0,-30.0,0.0,259.0,283.0,298.0,1370.0,2388.0,2435.0,2682.0,2706.0,,3918.0,0.0
53.0,Right,2.0,7.5,0.0,720.0,743.0,761.0,1827.0,2844.0,2891.0,3851.0,3875.0,3976.0,4994.0,0.0
54.0,Left,10.0,7.5,0.0,475.0,755.0,766.0,1832.0,2848.0,2894.0,4169.0,,,4993.0,0.0
55.0,Right,2.0,60.0,0.0,712.0,735.0,756.0,1815.0,2831.0,2879.0,2954.0,2978.0,3081.0,4099.0,0.0
56.0,Right,2.0,15.0,0.0,720.0,743.0,769.0,1826.0,2845.0,2887.0,4241.0,4264.0,4365.0,5383.0,0.0
57.0,Right,10.0,7.5,0.0,257.0,390.0,404.0,1472.0,2489.0,2537.0,4105.0,4128.0,4232.0,5250.0,0.0
58.0,Left,2.0,-30.0,0.0,702.0,726.0,745.0,1809.0,2824.0,2872.0,4029.0,4052.0,,5266.0,0.0
59.0,Right,2.0,30.0,0.0,703.0,725.0,738.0,1798.0,2812.0,2861.0,3432.0,3455.0,3558.0,4576.0,0.0
60.0,Left,2.0,-15.0,0.0,700.0,5436.0,5462.0,6521.0,7538.0,7585.0,8474.0,8497.0,,9708.0,0.0
61.0,Left,10.0,15.0,0.0,448.0,591.0,604.0,1678.0,2698.0,2745.0,4456.0,,,5280.0,0.0
62.0,Right,2.0,-7.5,0.0,690.0,713.0,727.0,1799.0,2817.0,2863.0,3406.0,,,4236.0,0.0
