Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
1.0,PassDurationTime,1.0,45.0,0,1.0,501.0,,517.0,1612.0,1737.0,,,,,2660.0,0.0,2144
2.0,PassDurationTime,2.0,135.0,5137,0.0,714.0,,728.0,1789.0,1907.0,,,,,2821.0,0.0,7246
3.0,PassDurationTime,2.0,45.0,10265,1.0,741.0,,762.0,1820.0,1940.0,,,,,2855.0,0.0,12382
4.0,PassDurationTime,2.0,-135.0,15347,0.0,693.0,,708.0,1773.0,1890.0,,,,,2804.0,0.0,17456
5.0,PassDurationTime,2.0,90.0,20476,0.0,738.0,,756.0,1815.0,1929.0,,,,,2848.0,0.0,22582
6.0,PassDurationTime,1.0,-180.0,25287,0.0,392.0,,408.0,1504.0,1618.0,,,,,2534.0,0.0,27420
7.0,PassDurationTime,1.0,90.0,30219,0.0,491.0,,507.0,1602.0,1719.0,,,,,2637.0,0.0,32371
1.0,Right,2.0,-15.0,0,1.0,712.0,1766.0,1789.0,2857.0,3879.0,3936.0,4726.0,,,5556.0,0.0,2144
2.0,DurationTime,2.0,30.0,5137,0.0,737.0,760.0,774.0,1834.0,,,,,,2649.0,0.0,7246
3.0,Right,2.0,60.0,10265,0.0,710.0,730.0,743.0,1806.0,2822.0,2870.0,3404.0,3428.0,3528.0,4545.0,0.0,12382
4.0,Right,2.0,15.0,15347,0.0,693.0,715.0,727.0,1788.0,2805.0,2851.0,3519.0,3542.0,3644.0,4657.0,0.0,17456
5.0,Right,2.0,-7.5,20476,0.0,695.0,718.0,731.0,1793.0,2809.0,2857.0,3631.0,,,4455.0,0.0,22582
6.0,Right,2.0,7.5,25287,0.0,693.0,714.0,729.0,1790.0,2808.0,2854.0,3611.0,3635.0,3735.0,4755.0,0.0,27420
7.0,Left,2.0,-60.0,30219,0.0,704.0,727.0,743.0,1807.0,2827.0,2872.0,3701.0,3725.0,,4895.0,0.0,32371
8.0,Left,2.0,30.0,93077,0.0,706.0,730.0,749.0,1809.0,2828.0,2874.0,3794.0,,,4615.0,0.0,96856
9.0,Left,2.0,-30.0,99896,0.0,737.0,761.0,775.0,1835.0,2855.0,2899.0,3597.0,3620.0,,4790.0,0.0,101790
10.0,Left,2.0,-7.5,104797,0.0,730.0,753.0,775.0,1833.0,2848.0,2895.0,3764.0,3788.0,,4960.0,0.0,108619
11.0,Right,2.0,60.0,111607,0.0,732.0,755.0,772.0,1838.0,2856.0,2900.0,3655.0,3678.0,3779.0,4792.0,0.0,115548
12.0,Left,2.0,-60.0,118538,0.0,729.0,749.0,765.0,1834.0,2852.0,2898.0,3659.0,3683.0,,4852.0,0.0,122275
13.0,Right,2.0,15.0,125270,0.0,741.0,764.0,783.0,1844.0,2861.0,2908.0,3887.0,3911.0,4013.0,5032.0,0.0,129347
14.0,Left,2.0,-15.0,132351,0.0,739.0,761.0,775.0,1839.0,2859.0,2904.0,3596.0,3619.0,,4790.0,0.0,136521
15.0,Left,2.0,7.5,139534,0.0,729.0,750.0,765.0,1825.0,2843.0,2887.0,3836.0,,,4661.0,0.0,143416
16.0,Right,2.0,-30.0,146459,0.0,738.0,758.0,774.0,1840.0,2857.0,2903.0,3924.0,,,4751.0,0.0,150479
17.0,Right,2.0,30.0,153523,0.0,725.0,747.0,763.0,1823.0,2840.0,2884.0,3834.0,3857.0,3958.0,4974.0,0.0,157723
18.0,Right,2.0,15.0,160761,0.0,740.0,764.0,776.0,1847.0,2865.0,2911.0,4155.0,4178.0,4281.0,5296.0,0.0,164804
19.0,Left,2.0,7.5,167832,0.0,710.0,733.0,746.0,1810.0,2828.0,2876.0,3934.0,,,4757.0,0.0,171934
20.0,Left,2.0,-60.0,174979,0.0,731.0,755.0,774.0,1837.0,2853.0,2901.0,4462.0,4485.0,,5656.0,0.0,179254
21.0,Left,2.0,-15.0,182297,0.0,695.0,718.0,731.0,1799.0,2816.0,2863.0,3763.0,3786.0,,4955.0,0.0,186316
22.0,Left,2.0,-7.5,189351,0.0,722.0,745.0,761.0,1823.0,2841.0,2887.0,4385.0,4409.0,,5577.0,0.0,193265
23.0,Right,2.0,-30.0,196305,0.0,702.0,726.0,741.0,1808.0,2825.0,2872.0,3747.0,,,4574.0,0.0,200295
24.0,Left,2.0,60.0,203320,0.0,736.0,759.0,775.0,1835.0,2852.0,2899.0,3762.0,,,4583.0,0.0,207557
25.0,Right,2.0,30.0,210603,0.0,722.0,741.0,758.0,1819.0,2837.0,2882.0,3788.0,3811.0,3913.0,4930.0,0.0,215139
26.0,Left,2.0,-15.0,218150,0.0,696.0,718.0,732.0,1802.0,2817.0,2865.0,3677.0,3700.0,,4867.0,0.0,222175
27.0,Right,2.0,-7.5,225200,0.0,726.0,749.0,763.0,1829.0,2846.0,2894.0,4509.0,,,5329.0,0.0,230100
28.0,Left,2.0,15.0,233107,0.0,694.0,719.0,732.0,1798.0,2816.0,2862.0,3468.0,,,4292.0,0.0,237333
29.0,Right,2.0,30.0,240355,0.0,690.0,713.0,725.0,1789.0,2807.0,2854.0,3607.0,3631.0,3731.0,4755.0,0.0,245192
30.0,Right,2.0,60.0,248196,0.0,734.0,756.0,770.0,1829.0,2846.0,2891.0,3740.0,3764.0,3866.0,4883.0,0.0,252071
31.0,Left,2.0,-30.0,255111,0.0,717.0,739.0,758.0,1820.0,2838.0,2884.0,3825.0,3848.0,,5022.0,0.0,258936
32.0,DurationTime,2.0,7.5,261959,0.0,699.0,720.0,735.0,1798.0,,,,,,2612.0,0.0,266175
33.0,DurationTime,2.0,7.5,269179,0.0,740.0,763.0,783.0,1841.0,,,,,,2653.0,0.0,273320
34.0,Left,2.0,-60.0,276350,0.0,694.0,716.0,729.0,1793.0,2813.0,2857.0,3549.0,3571.0,,4741.0,0.0,280930
35.0,Right,2.0,7.5,283930,0.0,696.0,720.0,735.0,1791.0,2809.0,2854.0,3835.0,3858.0,3960.0,4978.0,0.0,287498
36.0,Left,2.0,-30.0,290486,0.0,732.0,754.0,766.0,1828.0,2845.0,2892.0,3855.0,3878.0,,5048.0,0.0,294560
37.0,Left,2.0,-60.0,297588,0.0,717.0,739.0,753.0,1822.0,2840.0,2885.0,3597.0,3621.0,,4790.0,0.0,301723
38.0,Left,2.0,15.0,304741,0.0,742.0,765.0,778.0,1836.0,2852.0,2900.0,3708.0,,,4531.0,0.0,309056
39.0,Left,2.0,7.5,312059,0.0,716.0,737.0,751.0,1818.0,2838.0,2882.0,4046.0,,,4872.0,0.0,313956
40.0,Left,2.0,-7.5,338936,0.0,695.0,720.0,735.0,1801.0,2818.0,2864.0,3733.0,3757.0,,4925.0,0.0,340832
41.0,Right,2.0,60.0,343830,0.0,721.0,746.0,762.0,1819.0,2837.0,2882.0,3720.0,3743.0,3846.0,4865.0,0.0,347852
42.0,Right,2.0,-15.0,350857,0.0,696.0,719.0,738.0,1801.0,2818.0,2865.0,3798.0,,,4622.0,0.0,355110
43.0,Right,2.0,30.0,358141,0.0,730.0,754.0,773.0,1843.0,2860.0,2908.0,4371.0,4394.0,4497.0,5512.0,0.0,362438
44.0,Right,2.0,-30.0,365459,0.0,740.0,762.0,775.0,1841.0,2860.0,2910.0,3694.0,,,4519.0,0.0,369512
45.0,Left,2.0,-7.5,372551,0.0,717.0,741.0,764.0,1830.0,2847.0,2894.0,3820.0,3843.0,,5017.0,0.0,376322
46.0,Left,2.0,15.0,379345,0.0,719.0,743.0,758.0,1826.0,2843.0,2890.0,3726.0,,,4551.0,0.0,383500
47.0,Right,2.0,60.0,386504,0.0,718.0,740.0,752.0,1816.0,2834.0,2879.0,3729.0,3752.0,3853.0,4871.0,0.0,390704
48.0,Left,2.0,-60.0,393730,0.0,705.0,727.0,741.0,1802.0,2818.0,2865.0,3879.0,3902.0,,5070.0,0.0,397854
49.0,Left,2.0,7.5,400858,0.0,730.0,754.0,768.0,1830.0,2847.0,2897.0,4161.0,,,4987.0,0.0,404752
50.0,Right,2.0,-15.0,407798,0.0,705.0,724.0,740.0,1807.0,2825.0,2868.0,4736.0,,,5561.0,0.0,412538
51.0,Right,2.0,30.0,415579,0.0,724.0,748.0,763.0,1829.0,2847.0,2894.0,4121.0,4144.0,4247.0,5264.0,0.0,419344
52.0,Right,2.0,-30.0,422369,0.0,704.0,725.0,738.0,1807.0,2824.0,2872.0,2858.0,,,3685.0,0.0,426634
