Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,2144
2,2,2,0000000000010,0000000000010,5137,7246
3,2,2,0000000000011,0000000000010,10265,12382
4,4,4,0000000000100,0000000000100,15347,17456
5,4,4,0000000000101,0000000000100,20476,22582
6,4,4,0000000000110,0000000000100,25287,27420
7,6,4,0000000000111,0000000000110,30219,32371
8,1,8,0000000001000,0000000000001,93077,96856
9,2,8,0000000001001,0000000000010,99896,101790
10,3,8,0000000001010,0000000000011,104797,108619
11,4,8,0000000001011,0000000000100,111607,115548
12,4,8,0000000001100,0000000000100,118538,122275
13,4,8,0000000001101,0000000000100,125270,129347
14,4,8,0000000001110,0000000000100,132351,136521
15,8,8,0000000001111,0000000001000,139534,143416
16,8,16,0000000010000,0000000001000,146459,150479
17,8,16,0000000010001,0000000001000,153523,157723
18,8,16,0000000010010,0000000001000,160761,164804
19,8,16,0000000010011,0000000001000,167832,171934
20,8,16,0000000010100,0000000001000,174979,179254
21,8,16,0000000010101,0000000001000,182297,186316
22,8,16,0000000010110,0000000001000,189351,193265
23,16,16,0000000010111,0000000010000,196305,200295
24,16,16,0000000011000,0000000010000,203320,207557
25,16,16,0000000011001,0000000010000,210603,215139
26,16,16,0000000011010,0000000010000,218150,222175
27,16,16,0000000011011,0000000010000,225200,230100
28,16,16,0000000011100,0000000010000,233107,237333
29,16,16,0000000011101,0000000010000,240355,245192
30,16,16,0000000011110,0000000010000,248196,252071
31,16,16,0000000011111,0000000010000,255111,258936
32,16,32,0000000100000,0000000010000,261959,266175
33,16,32,0000000100001,0000000010000,269179,273320
34,24,32,0000000100010,0000000011000,276350,280930
35,16,32,0000000100011,0000000010000,283930,287498
36,16,32,0000000100100,0000000010000,290486,294560
37,16,32,0000000100101,0000000010000,297588,301723
38,16,32,0000000100110,0000000010000,304741,309056
39,32,32,0000000100111,0000000100000,312059,313956
40,32,32,0000000101000,0000000100000,338936,340832
41,34,32,0000000101001,0000000100010,343830,347852
42,34,32,0000000101010,0000000100010,350857,355110
43,32,32,0000000101011,0000000100000,358141,362438
44,32,32,0000000101100,0000000100000,365459,369512
45,34,32,0000000101101,0000000100010,372551,376322
46,34,32,0000000101110,0000000100010,379345,383500
47,40,32,0000000101111,0000000101000,386504,390704
48,40,32,0000000110000,0000000101000,393730,397854
49,40,32,0000000110001,0000000101000,400858,404752
50,40,32,0000000110010,0000000101000,407798,412538
51,32,32,0000000110011,0000000100000,415579,419344
52,32,32,0000000110100,0000000100000,422369,426634
53,32,32,0000000110101,0000000100000,429662,433463
54,34,32,0000000110110,0000000100010,436489,440614
55,32,32,0000000110111,0000000100000,443621,448001
56,32,32,0000000111000,0000000100000,451030,455264
57,34,32,0000000111001,0000000100010,458276,463106
58,32,32,0000000111010,0000000100000,466136,470657
59,32,32,0000000111011,0000000100000,473665,476621
60,32,32,0000000111100,0000000100000,479652,483850
61,32,32,0000000111101,0000000100000,487565,492665
62,32,32,0000000111110,0000000100000,495659,501605
63,40,32,0000000111111,0000000101000,504631,510125
64,40,64,0000001000000,0000000101000,513116,517549
65,40,64,0000001000001,0000000101000,520575,524676
66,32,64,0000001000010,0000000100000,527676,532055
67,32,64,0000001000011,0000000100000,535096,539226
68,32,64,0000001000100,0000000100000,542270,546530
69,34,64,0000001000101,0000000100010,555074,559427
70,34,64,0000001000110,0000000100010,562436,566361
71,64,64,0000001000111,0000001000000,569388,573441
72,64,64,0000001001000,0000001000000,576466,580766
73,64,64,0000001001001,0000001000000,584029,588071
74,64,64,0000001001010,0000001000000,591092,595063
75,64,64,0000001001011,0000001000000,598090,602411
76,64,64,0000001001100,0000001000000,605436,609430
77,64,64,0000001001101,0000001000000,612449,616410
78,64,64,0000001001110,0000001000000,619411,624030
79,64,64,0000001001111,0000001000000,627046,631355
80,64,64,0000001010000,0000001000000,634365,638651
81,64,64,0000001010001,0000001000000,642236,646569
82,64,64,0000001010010,0000001000000,649571,653630
83,64,64,0000001010011,0000001000000,656641,660583
84,64,64,0000001010100,0000001000000,669750,673826
85,64,64,0000001010101,0000001000000,676870,681056
86,64,64,0000001010110,0000001000000,684082,688063
87,64,64,0000001010111,0000001000000,691091,695308
88,64,64,0000001011000,0000001000000,698308,702491
89,64,64,0000001011001,0000001000000,705793,710319
90,64,64,0000001011010,0000001000000,713343,717218
91,64,64,0000001011011,0000001000000,720247,724748
92,64,64,0000001011100,0000001000000,727896,729792
93,64,64,0000001011101,0000001000000,732834,736962
94,64,64,0000001011110,0000001000000,749867,753822
95,64,64,0000001011111,0000001000000,761592,765773
96,64,64,0000001100000,0000001000000,773834,777704
97,64,64,0000001100001,0000001000000,780746,784847
98,64,64,0000001100010,0000001000000,787849,791976
99,64,64,0000001100011,0000001000000,795015,798969
100,64,64,0000001100100,0000001000000,806013,810164
101,64,64,0000001100101,0000001000000,813203,817690
102,64,64,0000001100110,0000001000000,820731,825039
103,64,64,0000001100111,0000001000000,832874,836694
104,64,64,0000001101000,0000001000000,839722,843758
105,64,64,0000001101001,0000001000000,846769,852229
106,66,64,0000001101010,0000001000010,855231,858991
107,64,64,0000001101011,0000001000000,861999,865973
108,64,64,0000001101100,0000001000000,868991,873312
109,64,64,0000001101101,0000001000000,876346,880427
110,66,64,0000001101110,0000001000010,883435,887632
111,72,64,0000001101111,0000001001000,890667,894422
112,72,64,0000001110000,0000001001000,897433,901388
113,72,64,0000001110001,0000001001000,922535,924422
114,64,64,0000001110010,0000001000000,927568,931886
115,64,64,0000001110011,0000001000000,934931,939092
116,64,64,0000001110100,0000001000000,949724,953867
117,66,64,0000001110101,0000001000010,956897,960816
118,64,64,0000001110110,0000001000000,963817,968155
119,64,64,0000001110111,0000001000000,971188,975300
120,64,64,0000001111000,0000001000000,978343,982353
121,66,64,0000001111001,0000001000010,987566,991535
122,64,64,0000001111010,0000001000000,994529,998157
123,64,64,0000001111011,0000001000000,1001177,1005116
124,64,64,0000001111100,0000001000000,1008148,1012203
125,66,64,0000001111101,0000001000010,1015221,1019299
126,64,64,0000001111110,0000001000000,1022302,1026644
127,72,64,0000001111111,0000001001000,1030060,1034298
128,72,128,0000010000000,0000001001000,1037308,1041247
129,66,128,0000010000001,0000001000010,1044259,1048230
130,72,128,0000010000010,0000001001000,1051236,1055622
131,64,128,0000010000011,0000001000000,1058651,1062673
132,72,128,0000010000100,0000001001000,1065702,1069494
133,72,128,0000010000101,0000001001000,1072496,1076995
134,66,128,0000010000110,0000001000010,1080474,1084103
135,128,128,0000010000111,0000010000000,1096627,1100902
136,128,128,0000010001000,0000010000000,1104846,1109584
137,128,128,0000010001001,0000010000000,1113863,1118159
138,130,128,0000010001010,0000010000010,1122427,1126848
139,128,128,0000010001011,0000010000000,1129856,1134044
140,128,128,0000010001100,0000010000000,1137062,1141424
141,128,128,0000010001101,0000010000000,1152360,1154255
142,128,128,0000010001110,0000010000000,1157658,1161976
143,128,128,0000010001111,0000010000000,1164984,1168999
144,128,128,0000010010000,0000010000000,1172001,1175664
145,128,128,0000010010001,0000010000000,1178696,1182891
146,128,128,0000010010010,0000010000000,1185900,1189862
147,128,128,0000010010011,0000010000000,1192859,1196776
148,128,128,0000010010100,0000010000000,1199815,1203796
149,128,128,0000010010101,0000010000000,1207207,1211479
150,128,128,0000010010110,0000010000000,1214489,1218563
151,128,128,0000010010111,0000010000000,1221559,1225161
152,128,128,0000010011000,0000010000000,1228167,1232389
153,128,128,0000010011001,0000010000000,1240751,1246347
154,128,128,0000010011010,0000010000000,1249392,1253483
155,128,128,0000010011011,0000010000000,1256483,1260690
156,128,128,0000010011100,0000010000000,1263710,1267971
157,128,128,0000010011101,0000010000000,1270967,1274964
158,128,128,0000010011110,0000010000000,1277994,1282392
159,128,128,0000010011111,0000010000000,1285400,1289595
160,128,128,0000010100000,0000010000000,1292619,1296766
161,128,128,0000010100001,0000010000000,1299764,1303846
162,128,128,0000010100010,0000010000000,1306887,1311124
163,128,128,0000010100011,0000010000000,1314121,1318736
164,128,128,0000010100100,0000010000000,1321760,1325944
165,128,128,0000010100101,0000010000000,1328988,1332978
166,128,128,0000010100110,0000010000000,1335999,1339267
167,128,128,0000010100111,0000010000000,1346533,1351592
168,128,128,0000010101000,0000010000000,1357156,1361279
169,130,128,0000010101001,0000010000010,1364307,1368367
170,128,128,0000010101010,0000010000000,1371373,1375454
171,128,128,0000010101011,0000010000000,1378463,1382735
172,128,128,0000010101100,0000010000000,1385762,1389902
173,130,128,0000010101101,0000010000010,1392907,1397065
174,128,128,0000010101110,0000010000000,1402394,1406555
175,136,128,0000010101111,0000010001000,1424897,1428853
176,136,128,0000010110000,0000010001000,1486112,1488000
177,130,128,0000010110001,0000010000010,1491655,1495586
178,136,128,0000010110010,0000010001000,1506919,1508809
179,128,128,0000010110011,0000010000000,1512687,1514568
180,128,128,0000010110100,0000010000000,1517601,1521643
181,128,128,0000010110101,0000010000000,1528527,1532749
182,128,128,0000010110110,0000010000000,1535793,1540922
183,128,128,0000010110111,0000010000000,1544946,1549430
184,128,128,0000010111000,0000010000000,1564947,1568847
185,130,128,0000010111001,0000010000010,1572375,1576466
186,130,128,0000010111010,0000010000010,1579464,1583639
187,128,128,0000010111011,0000010000000,1594421,1598817
188,128,128,0000010111100,0000010000000,1601827,1605766
189,130,128,0000010111101,0000010000010,1608822,1613257
190,130,128,0000010111110,0000010000010,1616305,1620546
191,136,128,0000010111111,0000010001000,1624403,1628647
192,136,128,0000011000000,0000010001000,1631662,1636339
193,136,128,0000011000001,0000010001000,1639344,1643303
194,128,128,0000011000010,0000010000000,1646313,1650264
195,128,128,0000011000011,0000010000000,1653271,1657628
196,128,128,0000011000100,0000010000000,1660629,1664680
197,130,128,0000011000101,0000010000010,1667705,1672585
198,136,128,0000011000110,0000010001000,1677702,1682167
199,128,128,0000011000111,0000010000000,1685194,1689110
200,128,128,0000011001000,0000010000000,1692115,1696589
201,128,128,0000011001001,0000010000000,1699630,1704091
202,128,128,0000011001010,0000010000000,1707125,1711446
203,128,128,0000011001011,0000010000000,1714456,1718611
204,128,128,0000011001100,0000010000000,1721619,1725656
205,128,128,0000011001101,0000010000000,1728679,1732934
206,128,128,0000011001110,0000010000000,1735937,1741758
207,128,128,0000011001111,0000010000000,1744768,1750710
208,128,128,0000011010000,0000010000000,1753726,1755610
209,128,128,0000011010001,0000010000000,1763077,1767595
210,128,128,0000011010010,0000010000000,1771858,1775894
211,128,128,0000011010011,0000010000000,1781482,1783375
212,128,128,0000011010100,0000010000000,1795199,1799464
213,128,128,0000011010101,0000010000000,1802474,1806586
214,128,128,0000011010110,0000010000000,1809614,1814007
215,128,128,0000011010111,0000010000000,1817036,1820922
216,128,128,0000011011000,0000010000000,1823954,1828182
217,128,128,0000011011001,0000010000000,1831223,1835749
218,128,128,0000011011010,0000010000000,1838762,1842699
219,128,128,0000011011011,0000010000000,1845735,1850440
220,128,128,0000011011100,0000010000000,1853484,1857204
221,128,128,0000011011101,0000010000000,1860259,1863976
222,128,128,0000011011110,0000010000000,1867004,1871686
223,128,128,0000011011111,0000010000000,1874699,1879122
224,128,128,0000011100000,0000010000000,1882162,1885123
