,HEADING_DIRECTION,R_counts,counts
0,-135.0,0,1
1,-60.0,2,27
2,-30.0,5,27
3,-15.0,9,28
4,-7.5,6,27
5,7.5,10,29
6,15.0,14,25
7,30.0,18,26
8,45.0,0,1
9,60.0,22,28
10,90.0,0,1
11,135.0,0,1
