,HEADING_DIRECTION,R_counts,counts
0,-60.0,3,24
1,-30.0,2,25
2,-15.0,7,26
3,-7.5,8,25
4,7.5,13,27
5,15.0,18,26
6,30.0,20,24
7,60.0,19,27
