,HEADING_DIRECTION,R_counts,counts
0,-60.0,1,14
1,-30.0,1,16
2,-15.0,6,16
3,-7.5,4,17
4,7.5,8,15
5,15.0,11,14
6,30.0,12,15
7,60.0,14,17
