Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
115,66,64,0000001110011,0000001000010,817780,821752
116,64,64,0000001110100,0000001000000,824741,828746
117,64,64,0000001110101,0000001000000,831792,836312
118,66,64,0000001110110,0000001000010,839339,843777
119,66,64,0000001110111,0000001000010,846808,850779
120,72,64,0000001111000,0000001001000,853805,858206
121,72,64,0000001111001,0000001001000,861227,865201
122,72,64,0000001111010,0000001001000,868225,872444
123,64,64,0000001111011,0000001000000,875490,877377
124,72,64,0000001111100,0000001001000,880385,882278
125,64,64,0000001111101,0000001000000,885322,889472
126,66,64,0000001111110,0000001000010,892498,896535
127,66,64,0000001111111,0000001000010,899581,903755
128,128,128,0000010000000,0000010000000,933750,937813
129,128,128,0000010000001,0000010000000,940800,944856
130,128,128,0000010000010,0000010000000,947899,949796
131,128,128,0000010000011,0000010000000,952811,956897
132,128,128,0000010000100,0000010000000,959885,964140
133,128,128,0000010000101,0000010000000,968268,972225
134,128,128,0000010000110,0000010000000,979553,983735
135,128,128,0000010000111,0000010000000,986786,991389
136,128,128,0000010001000,0000010000000,994430,998334
137,128,128,0000010001001,0000010000000,1001342,1005476
138,128,128,0000010001010,0000010000000,1008480,1012755
139,128,128,0000010001011,0000010000000,1019267,1023545
140,128,128,0000010001100,0000010000000,1026560,1030343
141,128,128,0000010001101,0000010000000,1033336,1037658
142,128,128,0000010001110,0000010000000,1040700,1044989
143,128,128,0000010001111,0000010000000,1048016,1052317
144,128,128,0000010010000,0000010000000,1056564,1060227
145,128,128,0000010010001,0000010000000,1063258,1069205
146,128,128,0000010010010,0000010000000,1072206,1078144
147,128,128,0000010010011,0000010000000,1081148,1086175
148,128,128,0000010010100,0000010000000,1089181,1093908
149,128,128,0000010010101,0000010000000,1096928,1101109
150,128,128,0000010010110,0000010000000,1104112,1108495
151,128,128,0000010010111,0000010000000,1111500,1115638
152,128,128,0000010011000,0000010000000,1118687,1122975
153,128,128,0000010011001,0000010000000,1125960,1129759
154,128,128,0000010011010,0000010000000,1132771,1137052
155,128,128,0000010011011,0000010000000,1146194,1150204
156,128,128,0000010011100,0000010000000,1153212,1157307
157,128,128,0000010011101,0000010000000,1160296,1164250
158,128,128,0000010011110,0000010000000,1167254,1171425
159,136,128,0000010011111,0000010001000,1181838,1183708
160,128,128,0000010100000,0000010000000,1191156,1195276
161,128,128,0000010100001,0000010000000,1201499,1206136
162,130,128,0000010100010,0000010000010,1209856,1211733
163,128,128,0000010100011,0000010000000,1220800,1225441
164,128,128,0000010100100,0000010000000,1228458,1232700
165,128,128,0000010100101,0000010000000,1235742,1239964
166,130,128,0000010100110,0000010000010,1242970,1246955
167,128,128,0000010100111,0000010000000,1249960,1254120
168,136,128,0000010101000,0000010001000,1257153,1261177
169,136,128,0000010101001,0000010001000,1264165,1268386
170,128,128,0000010101010,0000010000000,1271392,1275107
171,128,128,0000010101011,0000010000000,1278252,1282347
172,128,128,0000010101100,0000010000000,1285363,1289985
173,128,128,0000010101101,0000010000000,1294233,1298133
174,136,128,0000010101110,0000010001000,1301162,1305257
175,130,128,0000010101111,0000010000010,1310910,1315140
176,128,128,0000010110000,0000010000000,1352598,1356838
177,128,128,0000010110001,0000010000000,1359873,1364177
178,130,128,0000010110010,0000010000010,1367358,1370760
179,130,128,0000010110011,0000010000010,1373747,1378041
180,128,128,0000010110100,0000010000000,1381036,1385178
181,128,128,0000010110101,0000010000000,1388205,1392252
182,132,128,0000010110110,0000010000100,1395293,1399632
183,128,128,0000010110111,0000010000000,1402648,1404532
184,136,128,0000010111000,0000010001000,1407539,1411592
185,136,128,0000010111001,0000010001000,1414638,1418345
186,136,128,0000010111010,0000010001000,1427537,1432058
187,136,128,0000010111011,0000010001000,1435046,1439127
188,128,128,0000010111100,0000010000000,1442127,1446268
189,128,128,0000010111101,0000010000000,1458434,1460328
190,130,128,0000010111110,0000010000010,1463360,1467374
191,128,128,0000010111111,0000010000000,1473317,1475239
192,128,128,0000011000000,0000010000000,1478288,1480183
193,128,128,0000011000001,0000010000000,1484732,1486625
194,128,128,0000011000010,0000010000000,1501875,1506594
195,130,128,0000011000011,0000010000010,1510808,1512683
196,128,128,0000011000100,0000010000000,1517017,1521099
197,128,128,0000011000101,0000010000000,1524086,1527920
198,128,128,0000011000110,0000010000000,1530947,1534921
199,128,128,0000011000111,0000010000000,1541965,1546069
200,128,128,0000011001000,0000010000000,1553732,1558582
201,128,128,0000011001001,0000010000000,1561585,1565227
202,128,128,0000011001010,0000010000000,1568460,1570382
