,HEADING_DIRECTION,R_counts,counts
0,-60.0,2,25
1,-30.0,7,24
2,-15.0,12,23
3,-7.5,8,25
4,7.5,15,27
5,15.0,17,28
6,30.0,21,26
7,60.0,22,24
