,HEADING_DIRECTION,R_counts,counts
0,-60.0,2,11
1,-30.0,3,10
2,-15.0,2,12
3,-7.5,5,11
4,7.5,8,11
5,15.0,7,11
6,30.0,8,9
7,60.0,8,12
