,HEADING_DIRECTION,R_counts,counts
0,-60.0,62,491
1,-30.0,82,458
2,-15.0,150,463
3,-7.5,160,417
4,7.5,200,507
5,15.0,209,508
6,30.0,305,480
7,60.0,305,453
