,HEADING_DIRECTION,R_counts,counts
0,-60.0,69,512
1,-30.0,71,505
2,-15.0,113,645
3,-7.5,160,531
4,7.5,237,545
5,15.0,229,519
6,30.0,268,542
7,60.0,327,532
