,HEADING_DIRECTION,R_counts,counts
0,-60.0,64,562
1,-30.0,136,524
2,-15.0,218,534
3,-7.5,293,554
4,7.5,322,561
5,15.0,395,529
6,30.0,425,529
7,60.0,441,571
