Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
1.0,DurationTime,10.0,-60.0,0,0.0,457.0,2483.0,2499.0,3560.0,,,,,,4372.0,0.0,3847
2.0,DurationTime,10.0,15.0,6405,0.0,262.0,284.0,296.0,1373.0,,,,,,2183.0,0.0,10398
3.0,Left,2.0,-7.5,13397,0.0,702.0,1734.0,1750.0,2808.0,3824.0,3873.0,4342.0,4365.0,,5572.0,0.0,16957
4.0,Left,10.0,-60.0,19537,0.0,259.0,283.0,297.0,1361.0,2382.0,2426.0,3039.0,3064.0,,4272.0,0.0,21461
5.0,Left,2.0,60.0,24032,0.0,697.0,719.0,729.0,1799.0,2815.0,2863.0,3458.0,,,4284.0,0.0,27309
6.0,DurationTime,10.0,-7.5,30071,0.0,260.0,283.0,298.0,1378.0,,,,,,2192.0,0.0,34052
7.0,Right,10.0,-15.0,36633,0.0,262.0,284.0,296.0,1371.0,2391.0,2436.0,2735.0,,,3563.0,0.0,38526
8.0,Left,10.0,-30.0,41104,0.0,460.0,482.0,496.0,1571.0,2587.0,2635.0,3238.0,3261.0,,4467.0,0.0,44898
9.0,DurationTime,10.0,30.0,47459,0.0,275.0,295.0,306.0,1387.0,,,,,,2199.0,0.0,51218
10.0,Right,10.0,7.5,54219,0.0,263.0,286.0,295.0,1382.0,2398.0,2444.0,2954.0,2977.0,3080.0,4096.0,0.0,57651
11.0,Left,10.0,-7.5,60663,0.0,257.0,278.0,294.0,1363.0,2382.0,2429.0,2813.0,2837.0,,4047.0,0.0,63865
12.0,Right,2.0,-15.0,66895,0.0,698.0,719.0,737.0,1796.0,2812.0,2857.0,3328.0,,,4155.0,0.0,70638
13.0,Left,2.0,7.5,73641,0.0,706.0,730.0,745.0,1808.0,2825.0,2871.0,3113.0,,,3936.0,0.0,77360
14.0,Left,2.0,-30.0,80120,0.0,738.0,761.0,774.0,1838.0,2855.0,2901.0,3263.0,3286.0,,4494.0,0.0,83812
15.0,Left,2.0,-60.0,86834,0.0,703.0,727.0,743.0,1804.0,2823.0,2868.0,3212.0,3235.0,,4446.0,0.0,90111
16.0,Right,10.0,60.0,93125,0.0,444.0,467.0,482.0,1556.0,2572.0,2622.0,3027.0,3050.0,3154.0,4174.0,0.0,96756
17.0,Left,2.0,15.0,99339,0.0,715.0,738.0,756.0,1821.0,2837.0,2885.0,3191.0,,,4014.0,0.0,103103
18.0,Right,2.0,30.0,106763,0.0,708.0,731.0,749.0,1816.0,2836.0,2881.0,3230.0,3253.0,3356.0,4369.0,0.0,110709
19.0,Right,10.0,15.0,113719,0.0,268.0,291.0,306.0,1378.0,2396.0,2443.0,2926.0,2949.0,3049.0,4069.0,0.0,117544
20.0,Right,10.0,30.0,120125,0.0,259.0,1383.0,1400.0,2466.0,3482.0,3528.0,4187.0,4210.0,4313.0,5329.0,0.0,124147
21.0,Left,2.0,-60.0,127151,0.0,703.0,727.0,746.0,1812.0,2830.0,2877.0,3318.0,3342.0,,4552.0,0.0,130915
22.0,Left,10.0,-30.0,133939,0.0,277.0,298.0,310.0,1390.0,2409.0,2454.0,3096.0,3119.0,,4331.0,0.0,137653
23.0,Left,2.0,-7.5,140412,0.0,697.0,718.0,733.0,1801.0,2819.0,2865.0,3257.0,3280.0,,4489.0,0.0,144876
24.0,Right,2.0,60.0,147896,0.0,717.0,736.0,752.0,1822.0,2841.0,2887.0,3311.0,3335.0,3437.0,4455.0,0.0,149791
25.0,Right,10.0,15.0,152583,0.0,456.0,480.0,494.0,1563.0,2582.0,2628.0,3765.0,3788.0,3891.0,4910.0,0.0,156927
26.0,DurationTime,2.0,15.0,159939,0.0,720.0,743.0,761.0,1823.0,,,,,,2638.0,0.0,163646
27.0,Right,10.0,30.0,170445,0.0,482.0,505.0,516.0,1589.0,2606.0,2653.0,3718.0,3741.0,3844.0,4862.0,0.0,174261
28.0,Right,2.0,30.0,176811,0.0,705.0,728.0,743.0,1810.0,2827.0,2874.0,3290.0,3314.0,3415.0,4434.0,0.0,179804
29.0,Left,2.0,-30.0,182796,0.0,722.0,4517.0,4538.0,5602.0,6618.0,6666.0,7102.0,7125.0,,8335.0,0.0,186189
30.0,Right,10.0,-15.0,188780,0.0,243.0,265.0,279.0,1359.0,2374.0,2430.0,2410.0,,,3243.0,0.0,192131
31.0,Left,2.0,15.0,195052,0.0,705.0,725.0,739.0,1810.0,2825.0,2874.0,3304.0,,,4128.0,0.0,198984
32.0,Right,10.0,-7.5,201557,0.0,262.0,285.0,301.0,1378.0,2393.0,2439.0,2833.0,,,3660.0,0.0,205069
33.0,Left,10.0,-60.0,208069,0.0,253.0,636.0,648.0,1718.0,2735.0,2780.0,3307.0,3331.0,,4544.0,0.0,211503
34.0,Right,10.0,60.0,217038,0.0,261.0,284.0,299.0,1371.0,2390.0,2436.0,2652.0,2674.0,2778.0,3801.0,0.0,220429
35.0,Right,2.0,7.5,223652,0.0,701.0,724.0,741.0,1801.0,2820.0,2866.0,3010.0,3033.0,3136.0,4155.0,0.0,227425
