,HEADING_DIRECTION,R_counts,counts
0,-60.0,2,12
1,-30.0,3,14
2,-15.0,4,11
3,-7.5,9,16
4,7.5,10,13
5,15.0,11,12
6,30.0,10,12
7,60.0,11,14
