,HEADING_DIRECTION,R_counts,counts
0,-60.0,3,22
1,-30.0,8,21
2,-15.0,8,20
3,-7.5,9,20
4,7.5,15,23
5,15.0,15,19
6,30.0,17,21
7,60.0,16,24
