Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,3628
2,2,2,0000000000010,0000000000010,6631,10387
3,2,2,0000000000011,0000000000010,13671,15558
4,4,4,0000000000100,0000000000100,18559,20487
5,4,4,0000000000101,0000000000100,23487,25385
6,4,4,0000000000110,0000000000100,28387,31893
7,4,4,0000000000111,0000000000100,34923,39515
8,8,8,0000000001000,0000000001000,42519,44439
9,8,8,0000000001001,0000000001000,47440,51460
10,8,8,0000000001010,0000000001000,54515,58261
11,8,8,0000000001011,0000000001000,61751,66158
12,8,8,0000000001100,0000000001000,70073,73984
13,8,8,0000000001101,0000000001000,77216,80636
14,8,8,0000000001110,0000000001000,83622,87423
15,8,8,0000000001111,0000000001000,90483,94824
16,16,16,0000000010000,0000000010000,97829,101732
17,16,16,0000000010001,0000000010000,105501,109936
18,16,16,0000000010010,0000000010000,112979,116548
19,16,16,0000000010011,0000000010000,119568,124111
20,16,16,0000000010100,0000000010000,127158,131072
21,16,16,0000000010101,0000000010000,134090,138050
22,16,16,0000000010110,0000000010000,141051,144582
23,16,16,0000000010111,0000000010000,147609,152386
24,16,16,0000000011000,0000000010000,155373,159442
25,16,16,0000000011001,0000000010000,162479,168559
26,16,16,0000000011010,0000000010000,171586,175148
27,16,16,0000000011011,0000000010000,178173,182672
28,16,16,0000000011100,0000000010000,185681,189561
29,16,16,0000000011101,0000000010000,192591,195873
30,16,16,0000000011110,0000000010000,198916,203265
31,16,16,0000000011111,0000000010000,206282,209457
32,32,32,0000000100000,0000000100000,213594,217772
33,32,32,0000000100001,0000000100000,220796,224933
34,34,32,0000000100010,0000000100010,227953,232330
35,34,32,0000000100011,0000000100010,235358,239082
36,32,32,0000000100100,0000000100000,242083,245982
37,32,32,0000000100101,0000000100000,249009,252372
38,34,32,0000000100110,0000000100010,255417,258864
39,34,32,0000000100111,0000000100010,261904,265980
40,40,32,0000000101000,0000000101000,270988,274941
41,32,32,0000000101001,0000000100000,277971,281664
42,40,32,0000000101010,0000000101000,284696,288760
43,40,32,0000000101011,0000000101000,291802,295386
44,32,32,0000000101100,0000000100000,302974,307548
45,32,32,0000000101101,0000000100000,310564,314330
46,32,32,0000000101110,0000000100000,317376,320849
47,32,32,0000000101111,0000000100000,323891,327681
48,32,32,0000000110000,0000000100000,330682,334504
49,32,32,0000000110001,0000000100000,337513,341773
50,34,32,0000000110010,0000000100010,344807,348714
51,32,32,0000000110011,0000000100000,351752,354934
52,32,32,0000000110100,0000000100000,357948,361270
53,32,32,0000000110101,0000000100000,364482,368258
54,34,32,0000000110110,0000000100010,371287,374540
55,32,32,0000000110111,0000000100000,377581,381225
56,40,32,0000000111000,0000000101000,384251,387604
57,32,32,0000000111001,0000000100000,390633,394115
58,34,32,0000000111010,0000000100010,397120,400445
59,40,32,0000000111011,0000000101000,403474,406924
60,40,32,0000000111100,0000000101000,409973,412919
61,32,32,0000000111101,0000000100000,415945,417827
62,34,32,0000000111110,0000000100010,420852,424634
63,34,32,0000000111111,0000000100010,427677,431675
64,64,64,0000001000000,0000001000000,435317,439175
65,64,64,0000001000001,0000001000000,442196,446481
66,64,64,0000001000010,0000001000000,449525,452928
67,64,64,0000001000011,0000001000000,455973,460008
68,64,64,0000001000100,0000001000000,463053,466683
69,64,64,0000001000101,0000001000000,469681,473130
70,64,64,0000001000110,0000001000000,476155,479813
71,64,64,0000001000111,0000001000000,482836,486863
72,64,64,0000001001000,0000001000000,489905,493728
73,64,64,0000001001001,0000001000000,496726,500286
74,64,64,0000001001010,0000001000000,503330,507289
75,64,64,0000001001011,0000001000000,510443,514582
76,64,64,0000001001100,0000001000000,517602,522230
77,64,64,0000001001101,0000001000000,525274,529139
78,64,64,0000001001110,0000001000000,534146,537976
79,64,64,0000001001111,0000001000000,540978,543938
80,64,64,0000001010000,0000001000000,546960,549917
81,64,64,0000001010001,0000001000000,552917,556660
82,64,64,0000001010010,0000001000000,559673,563673
83,64,64,0000001010011,0000001000000,566716,569801
84,64,64,0000001010100,0000001000000,572845,575801
85,64,64,0000001010101,0000001000000,578810,582246
86,64,64,0000001010110,0000001000000,585293,589074
87,66,64,0000001010111,0000001000010,592085,595857
88,64,64,0000001011000,0000001000000,598980,603165
89,64,64,0000001011001,0000001000000,608429,612875
90,64,64,0000001011010,0000001000000,616089,619891
91,64,64,0000001011011,0000001000000,622921,626586
92,64,64,0000001011100,0000001000000,629614,633041
93,64,64,0000001011101,0000001000000,636055,640242
94,64,64,0000001011110,0000001000000,643249,647364
95,64,64,0000001011111,0000001000000,650388,654717
96,64,64,0000001100000,0000001000000,657741,661866
97,64,64,0000001100001,0000001000000,664895,668787
98,64,64,0000001100010,0000001000000,672074,676009
99,64,64,0000001100011,0000001000000,678998,682845
100,64,64,0000001100100,0000001000000,685829,689910
101,64,64,0000001100101,0000001000000,692944,697321
102,66,64,0000001100110,0000001000010,700327,704060
103,66,64,0000001100111,0000001000010,707077,711193
104,72,64,0000001101000,0000001001000,714230,717495
105,72,64,0000001101001,0000001001000,720495,724247
106,64,64,0000001101010,0000001000000,727287,731351
107,72,64,0000001101011,0000001001000,734352,737957
108,64,64,0000001101100,0000001000000,740958,744236
109,64,64,0000001101101,0000001000000,747275,750451
110,66,64,0000001101110,0000001000010,753476,756996
111,64,64,0000001101111,0000001000000,760011,763652
112,64,64,0000001110000,0000001000000,766651,769975
113,64,64,0000001110001,0000001000000,773012,777316
114,66,64,0000001110010,0000001000010,780357,783863
115,66,64,0000001110011,0000001000010,786905,789853
116,64,64,0000001110100,0000001000000,792860,796221
117,64,64,0000001110101,0000001000000,799243,802754
118,66,64,0000001110110,0000001000010,807761,811035
119,64,64,0000001110111,0000001000000,814699,816597
120,64,64,0000001111000,0000001000000,819604,823344
121,72,64,0000001111001,0000001001000,826374,829739
122,72,64,0000001111010,0000001001000,832772,836386
123,72,64,0000001111011,0000001001000,839414,843115
124,64,64,0000001111100,0000001000000,846140,849527
125,64,64,0000001111101,0000001000000,852554,854446
126,66,64,0000001111110,0000001000010,857681,859571
127,64,64,0000001111111,0000001000000,862736,864635
128,128,128,0000010000000,0000010000000,867679,869576
129,128,128,0000010000001,0000010000000,874745,878020
130,128,128,0000010000010,0000010000000,881063,882959
131,128,128,0000010000011,0000010000000,894340,896236
132,128,128,0000010000100,0000010000000,904241,906137
133,128,128,0000010000101,0000010000000,909440,911336
134,128,128,0000010000110,0000010000000,914356,916281
135,128,128,0000010000111,0000010000000,922609,924538
136,128,128,0000010001000,0000010000000,928848,930733
137,128,128,0000010001001,0000010000000,933742,935635
138,128,128,0000010001010,0000010000000,945459,948426
139,128,128,0000010001011,0000010000000,951454,954732
140,128,128,0000010001100,0000010000000,958722,962088
141,128,128,0000010001101,0000010000000,965128,967024
142,128,128,0000010001110,0000010000000,971732,973624
143,128,128,0000010001111,0000010000000,977485,981453
144,128,128,0000010010000,0000010000000,984887,986769
145,128,128,0000010010001,0000010000000,992838,994733
146,128,128,0000010010010,0000010000000,999261,1001156
147,128,128,0000010010011,0000010000000,1008881,1010797
148,128,128,0000010010100,0000010000000,1017820,1021861
149,128,128,0000010010101,0000010000000,1025295,1027193
150,130,128,0000010010110,0000010000010,1030268,1032158
151,128,128,0000010010111,0000010000000,1039206,1041101
152,128,128,0000010011000,0000010000000,1044711,1046597
153,128,128,0000010011001,0000010000000,1078580,1082613
154,128,128,0000010011010,0000010000000,1085649,1089471
155,128,128,0000010011011,0000010000000,1092471,1096475
156,128,128,0000010011100,0000010000000,1099517,1102892
157,128,128,0000010011101,0000010000000,1105935,1109752
158,128,128,0000010011110,0000010000000,1113603,1117376
159,128,128,0000010011111,0000010000000,1120380,1123855
160,128,128,0000010100000,0000010000000,1126885,1131022
161,128,128,0000010100001,0000010000000,1134024,1136979
162,130,128,0000010100010,0000010000010,1140002,1143279
163,130,128,0000010100011,0000010000010,1146301,1150037
164,128,128,0000010100100,0000010000000,1153528,1157702
165,128,128,0000010100101,0000010000000,1160739,1164260
166,130,128,0000010100110,0000010000010,1167288,1170714
167,128,128,0000010100111,0000010000000,1173761,1177217
168,136,128,0000010101000,0000010001000,1180228,1183513
169,128,128,0000010101001,0000010000000,1186553,1190589
170,136,128,0000010101010,0000010001000,1193615,1197178
171,128,128,0000010101011,0000010000000,1200185,1204108
172,128,128,0000010101100,0000010000000,1207581,1211098
173,128,128,0000010101101,0000010000000,1214120,1217399
174,130,128,0000010101110,0000010000010,1220409,1223374
175,128,128,0000010101111,0000010000000,1226420,1230207
176,128,128,0000010110000,0000010000000,1233225,1237293
177,128,128,0000010110001,0000010000000,1240339,1243298
178,130,128,0000010110010,0000010000010,1246344,1250084
179,130,128,0000010110011,0000010000010,1253124,1256903
180,128,128,0000010110100,0000010000000,1259884,1263941
181,128,128,0000010110101,0000010000000,1266986,1270683
182,130,128,0000010110110,0000010000010,1273732,1277124
183,132,128,0000010110111,0000010000100,1280156,1283535
184,136,128,0000010111000,0000010001000,1286537,1290439
185,128,128,0000010111001,0000010000000,1293481,1297921
186,136,128,0000010111010,0000010001000,1300945,1303904
187,136,128,0000010111011,0000010001000,1306951,1310887
188,128,128,0000010111100,0000010000000,1313909,1317225
189,128,128,0000010111101,0000010000000,1320230,1323558
190,136,128,0000010111110,0000010001000,1326600,1329695
191,128,128,0000010111111,0000010000000,1332717,1336839
192,128,128,0000011000000,0000010000000,1339884,1343810
193,128,128,0000011000001,0000010000000,1346835,1350649
194,128,128,0000011000010,0000010000000,1353685,1357487
195,128,128,0000011000011,0000010000000,1360526,1364335
196,128,128,0000011000100,0000010000000,1367355,1371049
197,128,128,0000011000101,0000010000000,1374094,1377370
198,128,128,0000011000110,0000010000000,1380414,1384717
199,128,128,0000011000111,0000010000000,1387721,1391179
200,128,128,0000011001000,0000010000000,1394201,1398574
