,HEADING_DIRECTION,R_counts,counts
0,-60.0,6,32
1,-30.0,11,24
2,-15.0,8,22
3,-7.5,14,27
4,7.5,16,22
5,15.0,18,26
6,30.0,19,25
7,60.0,17,22
