Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,4576
2,2,2,0000000000010,0000000000010,7583,11998
3,2,2,0000000000011,0000000000010,16544,20431
4,4,4,0000000000100,0000000000100,25490,30055
5,4,4,0000000000101,0000000000100,33088,38082
6,4,4,0000000000110,0000000000100,41083,45137
7,4,4,0000000000111,0000000000100,48159,52101
8,8,8,0000000001000,0000000001000,55708,60203
9,8,8,0000000001001,0000000001000,63550,67693
10,8,8,0000000001010,0000000001000,70699,74994
11,8,8,0000000001011,0000000001000,78031,82733
12,8,8,0000000001100,0000000001000,87576,91989
13,8,8,0000000001101,0000000001000,95800,99955
14,8,8,0000000001110,0000000001000,103119,107341
15,8,8,0000000001111,0000000001000,110331,113612
16,16,16,0000000010000,0000000010000,116613,120911
17,16,16,0000000010001,0000000010000,123916,128658
18,16,16,0000000010010,0000000010000,131667,134942
19,16,16,0000000010011,0000000010000,138567,143627
20,16,16,0000000010100,0000000010000,146639,150461
21,16,16,0000000010101,0000000010000,153869,158184
22,16,16,0000000010110,0000000010000,161206,165142
23,16,16,0000000010111,0000000010000,168390,173563
24,16,16,0000000011000,0000000010000,176566,180415
25,16,16,0000000011001,0000000010000,183438,187775
26,16,16,0000000011010,0000000010000,191564,195938
27,16,16,0000000011011,0000000010000,198927,203216
28,16,16,0000000011100,0000000010000,206220,210060
29,16,16,0000000011101,0000000010000,213076,218511
30,16,16,0000000011110,0000000010000,221520,225347
31,16,16,0000000011111,0000000010000,228332,232254
32,32,32,0000000100000,0000000100000,235274,239225
33,32,32,0000000100001,0000000100000,242239,245945
34,34,32,0000000100010,0000000100010,248975,253467
35,34,32,0000000100011,0000000100010,256501,261571
36,32,32,0000000100100,0000000100000,265254,269961
37,32,32,0000000100101,0000000100000,272948,276972
38,34,32,0000000100110,0000000100010,279977,283652
39,34,32,0000000100111,0000000100010,287445,291955
40,40,32,0000000101000,0000000101000,295003,298754
41,40,32,0000000101001,0000000101000,301786,305164
42,40,32,0000000101010,0000000101000,308197,311755
43,40,32,0000000101011,0000000101000,314756,318559
