,HEADING_DIRECTION,R_counts,counts
0,-60.0,3,24
1,-30.0,7,25
2,-15.0,7,24
3,-7.5,11,23
4,7.5,13,26
5,15.0,19,25
6,30.0,17,24
7,60.0,23,26
