Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,DurationTime,2.0,-15.0,1.0,712.0,5093.0,5109.0,6174.0,,,,,,6994.0,0.0
2.0,DurationTime,2.0,7.5,0.0,734.0,2337.0,2356.0,3422.0,,,,,,4240.0,0.0
3.0,Right,2.0,15.0,0.0,723.0,746.0,762.0,1826.0,2852.0,2906.0,3621.0,3647.0,3748.0,4763.0,0.0
4.0,Right,2.0,7.5,0.0,737.0,3012.0,3029.0,4094.0,5112.0,5160.0,5786.0,5810.0,5911.0,6930.0,0.0
5.0,Right,2.0,-30.0,0.0,728.0,1698.0,1713.0,2777.0,3795.0,3842.0,4395.0,,,5219.0,0.0
6.0,DurationTime,2.0,-15.0,0.0,717.0,910.0,922.0,1989.0,,,,,,2805.0,0.0
7.0,Left,2.0,-15.0,0.0,725.0,2500.0,2520.0,3582.0,4602.0,4646.0,6393.0,6417.0,,7583.0,0.0
8.0,Left,2.0,-60.0,0.0,722.0,1537.0,1553.0,2621.0,3639.0,3686.0,4763.0,4786.0,,5956.0,0.0
9.0,DurationTime,2.0,60.0,0.0,694.0,3068.0,3088.0,4148.0,,,,,,4962.0,0.0
10.0,NoDecision,2.0,30.0,0.0,734.0,757.0,776.0,1847.0,2864.0,2912.0,,,,6712.0,0.0
11.0,DurationTime,2.0,60.0,0.0,706.0,1550.0,1568.0,2626.0,,,,,,3440.0,0.0
12.0,Left,2.0,-7.5,0.0,740.0,763.0,781.0,1846.0,2864.0,2910.0,2897.0,2924.0,,4089.0,0.0
13.0,Right,2.0,30.0,0.0,729.0,1032.0,1051.0,2113.0,3131.0,3178.0,4647.0,4669.0,4771.0,5792.0,0.0
14.0,DurationTime,2.0,60.0,0.0,733.0,865.0,879.0,1948.0,,,,,,2765.0,0.0
15.0,Right,2.0,60.0,0.0,691.0,1406.0,1429.0,2493.0,3508.0,3556.0,4306.0,4329.0,4432.0,5451.0,0.0
16.0,Right,2.0,60.0,0.0,727.0,750.0,773.0,1840.0,2860.0,2904.0,4478.0,4501.0,4603.0,5619.0,0.0
17.0,Left,2.0,-30.0,0.0,722.0,745.0,763.0,1822.0,2839.0,2888.0,4554.0,4577.0,,5746.0,0.0
18.0,Left,2.0,-7.5,0.0,697.0,720.0,734.0,1801.0,2819.0,2865.0,3560.0,3582.0,,4748.0,0.0
19.0,Left,2.0,15.0,0.0,731.0,754.0,773.0,1839.0,2857.0,2903.0,4137.0,,,4964.0,0.0
20.0,Left,2.0,7.5,0.0,734.0,758.0,775.0,1840.0,2859.0,2905.0,4052.0,,,4876.0,0.0
21.0,Right,2.0,30.0,0.0,708.0,729.0,746.0,1809.0,2828.0,2873.0,4267.0,4291.0,4393.0,5410.0,0.0
22.0,Left,2.0,-60.0,0.0,737.0,759.0,770.0,1841.0,2857.0,2904.0,3970.0,3993.0,,5164.0,0.0
23.0,Right,2.0,-15.0,0.0,741.0,761.0,773.0,1843.0,2861.0,2908.0,4074.0,,,4896.0,0.0
24.0,Left,2.0,-7.5,0.0,688.0,712.0,727.0,1791.0,2809.0,2856.0,4674.0,4697.0,,5866.0,0.0
25.0,Left,2.0,7.5,0.0,719.0,741.0,754.0,1816.0,2832.0,2880.0,3956.0,,,4783.0,0.0
26.0,Right,2.0,30.0,0.0,698.0,722.0,736.0,1810.0,2827.0,2875.0,4865.0,4889.0,4991.0,6007.0,0.0
27.0,Right,2.0,-15.0,0.0,697.0,720.0,738.0,1800.0,2819.0,2865.0,4111.0,,,4937.0,0.0
28.0,Right,2.0,60.0,0.0,726.0,746.0,765.0,1824.0,2839.0,2889.0,4110.0,4133.0,4234.0,5251.0,0.0
29.0,Left,2.0,-60.0,0.0,725.0,750.0,769.0,1828.0,2846.0,2892.0,4158.0,4182.0,,5351.0,0.0
30.0,Right,2.0,-30.0,0.0,735.0,759.0,777.0,1837.0,2855.0,2906.0,2888.0,,,3720.0,0.0
31.0,DurationTime,2.0,15.0,0.0,722.0,741.0,757.0,1817.0,,,,,,2633.0,0.0
32.0,Right,2.0,15.0,0.0,693.0,717.0,735.0,1804.0,2821.0,2869.0,4445.0,4469.0,4569.0,5587.0,0.0
33.0,Right,2.0,15.0,0.0,699.0,722.0,736.0,1811.0,2828.0,2875.0,4812.0,4836.0,4938.0,5950.0,0.0
34.0,Right,2.0,-7.5,0.0,724.0,744.0,763.0,1826.0,2845.0,2891.0,3695.0,,,4519.0,0.0
35.0,NoDecision,2.0,-15.0,0.0,720.0,740.0,756.0,1818.0,2834.0,2882.0,,,,6686.0,0.0
36.0,Right,2.0,-60.0,0.0,704.0,727.0,741.0,1807.0,2823.0,2872.0,4594.0,,,5420.0,0.0
37.0,Right,2.0,60.0,0.0,694.0,717.0,732.0,1798.0,2815.0,2862.0,3905.0,3928.0,4031.0,5051.0,0.0
38.0,Right,2.0,30.0,0.0,690.0,713.0,730.0,1790.0,2810.0,2853.0,3890.0,3913.0,4016.0,5034.0,0.0
39.0,NoDecision,2.0,-30.0,0.0,740.0,763.0,781.0,1848.0,2864.0,2911.0,,,,6711.0,0.0
40.0,Right,2.0,-30.0,0.0,742.0,762.0,781.0,1839.0,2858.0,2903.0,4810.0,,,5635.0,0.0
41.0,Right,2.0,-15.0,0.0,693.0,716.0,731.0,1791.0,2808.0,2856.0,5144.0,,,5969.0,0.0
42.0,Right,2.0,7.5,0.0,712.0,732.0,750.0,1814.0,2834.0,2879.0,4511.0,4534.0,4634.0,5653.0,0.0
43.0,Right,2.0,15.0,0.0,713.0,736.0,750.0,1810.0,2824.0,2870.0,4736.0,4759.0,4862.0,5881.0,0.0
44.0,Right,2.0,-30.0,0.0,695.0,716.0,731.0,1794.0,2812.0,2859.0,4980.0,,,5805.0,0.0
45.0,Right,2.0,-15.0,0.0,695.0,1230.0,1245.0,2305.0,3324.0,3370.0,4650.0,,,5478.0,0.0
46.0,Right,2.0,30.0,0.0,694.0,716.0,734.0,1801.0,2819.0,2868.0,3868.0,3892.0,3994.0,5010.0,0.0
47.0,Right,2.0,-60.0,0.0,707.0,730.0,744.0,1808.0,2825.0,2873.0,4336.0,,,5162.0,0.0
48.0,Left,2.0,7.5,0.0,738.0,762.0,775.0,1843.0,2860.0,2909.0,3942.0,,,4766.0,0.0
49.0,Right,2.0,60.0,0.0,693.0,713.0,724.0,1796.0,2815.0,2860.0,3801.0,3825.0,3928.0,4945.0,0.0
50.0,Right,2.0,-7.5,0.0,688.0,711.0,726.0,1793.0,2811.0,2859.0,3936.0,,,4760.0,0.0
51.0,Right,2.0,15.0,0.0,719.0,742.0,759.0,1821.0,2841.0,2886.0,4022.0,4045.0,4145.0,5162.0,0.0
52.0,Right,2.0,-60.0,0.0,725.0,749.0,764.0,1828.0,2846.0,2892.0,3618.0,,,4443.0,0.0
53.0,Right,2.0,60.0,0.0,716.0,739.0,751.0,1814.0,2831.0,2879.0,4683.0,4706.0,4809.0,5825.0,0.0
54.0,Right,2.0,7.5,0.0,692.0,717.0,735.0,1807.0,2825.0,2872.0,4390.0,4412.0,4512.0,5527.0,0.0
55.0,Right,2.0,-15.0,0.0,692.0,713.0,727.0,1796.0,2815.0,2861.0,3887.0,,,4710.0,0.0
