,HEADING_DIRECTION,R_counts,counts
0,-60.0,5,26
1,-30.0,6,25
2,-15.0,8,30
3,-7.5,13,26
4,7.5,17,26
5,15.0,19,24
6,30.0,23,25
7,60.0,23,26
