,HEADING_DIRECTION,R_counts,counts
0,-60.0,1,9
1,-30.0,2,10
2,-15.0,3,10
3,-7.5,5,9
4,7.5,7,10
5,15.0,8,10
6,30.0,7,9
7,60.0,8,9
