Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,Right,2.0,30.0,1.0,712.0,2537.0,2562.0,3628.0,4649.0,4705.0,5387.0,5414.0,5514.0,6537.0,0.0
2.0,Left,2.0,15.0,0.0,731.0,751.0,768.0,1831.0,2851.0,2895.0,3741.0,,,4565.0,0.0
3.0,Right,2.0,7.5,0.0,688.0,712.0,727.0,1786.0,2803.0,2850.0,3447.0,3470.0,3569.0,4585.0,0.0
4.0,Right,2.0,-7.5,1.0,689.0,710.0,727.0,1786.0,2805.0,2850.0,3387.0,,,4211.0,0.0
5.0,Right,2.0,60.0,0.0,738.0,760.0,775.0,1839.0,2861.0,2903.0,3388.0,3411.0,3510.0,4530.0,0.0
6.0,Left,2.0,-60.0,0.0,736.0,1169.0,1183.0,2251.0,3270.0,3316.0,3749.0,3773.0,,4942.0,0.0
7.0,Left,2.0,-30.0,0.0,697.0,719.0,728.0,1793.0,2810.0,2857.0,3279.0,3302.0,,4472.0,0.0
8.0,Left,2.0,-15.0,0.0,705.0,729.0,745.0,1812.0,2831.0,2877.0,3321.0,3344.0,,4511.0,0.0
9.0,DurationTime,2.0,-30.0,0.0,734.0,757.0,773.0,1840.0,,,,,,2654.0,0.0
10.0,Right,2.0,-15.0,0.0,690.0,712.0,726.0,1787.0,2807.0,2852.0,3442.0,,,4269.0,0.0
11.0,Right,2.0,7.5,0.0,691.0,714.0,725.0,1794.0,2813.0,2858.0,3602.0,3626.0,3725.0,4741.0,0.0
12.0,Right,2.0,15.0,0.0,717.0,747.0,762.0,1824.0,2841.0,2889.0,3584.0,3608.0,3710.0,4727.0,0.0
13.0,DurationTime,2.0,60.0,0.0,701.0,946.0,963.0,2026.0,,,,,,2840.0,0.0
14.0,DurationTime,2.0,-7.5,0.0,704.0,728.0,741.0,1810.0,,,,,,2631.0,0.0
15.0,Left,2.0,-7.5,0.0,742.0,765.0,780.0,1846.0,2860.0,2907.0,3557.0,3581.0,,4752.0,0.0
16.0,DurationTime,2.0,-60.0,0.0,708.0,731.0,744.0,1816.0,,,,,,2632.0,0.0
17.0,Right,2.0,60.0,0.0,735.0,759.0,775.0,1838.0,2858.0,2904.0,3461.0,3484.0,3585.0,4605.0,0.0
18.0,Left,2.0,-30.0,0.0,720.0,742.0,754.0,1820.0,2837.0,2884.0,3336.0,3359.0,,4534.0,0.0
19.0,Left,2.0,-60.0,0.0,745.0,767.0,785.0,1849.0,2868.0,2915.0,3310.0,3333.0,,4502.0,0.0
20.0,Right,2.0,30.0,0.0,725.0,749.0,769.0,1830.0,2847.0,2894.0,3574.0,3598.0,3697.0,4716.0,0.0
21.0,Left,2.0,7.5,0.0,719.0,742.0,756.0,1823.0,2840.0,2887.0,2889.0,,,3716.0,0.0
22.0,Right,2.0,15.0,0.0,739.0,762.0,779.0,1842.0,2855.0,2903.0,3972.0,3996.0,4098.0,5116.0,0.0
23.0,Right,2.0,-7.5,0.0,707.0,728.0,743.0,1807.0,2824.0,2871.0,3580.0,,,4404.0,0.0
24.0,Right,2.0,60.0,0.0,696.0,719.0,731.0,1801.0,2819.0,2866.0,3606.0,3630.0,3733.0,4753.0,0.0
25.0,Left,2.0,-30.0,0.0,710.0,730.0,743.0,1808.0,2824.0,2873.0,3397.0,3419.0,,4587.0,0.0
26.0,Left,2.0,-60.0,0.0,719.0,744.0,762.0,1825.0,2842.0,2888.0,3570.0,3594.0,,4764.0,0.0
27.0,Right,2.0,-15.0,0.0,699.0,719.0,735.0,1804.0,2822.0,2869.0,3370.0,,,4194.0,0.0
28.0,Left,2.0,30.0,0.0,708.0,729.0,742.0,1808.0,2827.0,2873.0,3424.0,,,4247.0,0.0
29.0,Left,2.0,-60.0,0.0,722.0,744.0,762.0,1824.0,2840.0,2888.0,3074.0,3097.0,,4272.0,0.0
30.0,Right,2.0,60.0,0.0,691.0,715.0,730.0,1798.0,2815.0,2862.0,3506.0,3530.0,3632.0,4648.0,0.0
31.0,Right,2.0,30.0,0.0,702.0,723.0,736.0,1805.0,2822.0,2870.0,3599.0,3622.0,3722.0,4740.0,0.0
32.0,Left,2.0,-30.0,0.0,695.0,716.0,732.0,1798.0,2818.0,2862.0,2915.0,2938.0,,4111.0,0.0
33.0,Left,2.0,-7.5,0.0,713.0,735.0,752.0,1810.0,2825.0,2875.0,3164.0,3187.0,,4357.0,0.0
34.0,Right,2.0,15.0,0.0,698.0,721.0,744.0,1800.0,2816.0,2861.0,3888.0,3911.0,4012.0,5028.0,0.0
35.0,Left,2.0,-15.0,0.0,702.0,725.0,739.0,1799.0,2814.0,2861.0,3245.0,3268.0,,4439.0,0.0
36.0,Left,2.0,7.5,0.0,693.0,716.0,730.0,1800.0,2819.0,2864.0,3923.0,,,4747.0,0.0
37.0,Right,2.0,-7.5,0.0,731.0,754.0,774.0,1838.0,2855.0,2904.0,3541.0,,,4365.0,0.0
38.0,Left,2.0,-15.0,0.0,727.0,750.0,767.0,1830.0,2845.0,2895.0,3260.0,3283.0,,4452.0,0.0
39.0,DurationTime,2.0,15.0,0.0,729.0,753.0,765.0,1837.0,,,,,,2651.0,0.0
40.0,Left,2.0,-60.0,0.0,692.0,716.0,731.0,1792.0,2811.0,2857.0,3223.0,3246.0,,4415.0,0.0
41.0,Right,2.0,-30.0,0.0,705.0,1147.0,1161.0,2223.0,3237.0,3288.0,3767.0,,,4593.0,0.0
42.0,Left,2.0,30.0,0.0,713.0,736.0,752.0,1820.0,2836.0,2884.0,3212.0,,,4036.0,0.0
43.0,Right,2.0,60.0,0.0,702.0,1706.0,1721.0,2783.0,3800.0,3847.0,4418.0,4441.0,4544.0,5561.0,0.0
44.0,Right,2.0,7.5,0.0,731.0,754.0,774.0,1828.0,2845.0,2888.0,3487.0,3510.0,3612.0,4631.0,0.0
45.0,Left,2.0,15.0,0.0,719.0,1913.0,1932.0,2991.0,4009.0,4056.0,4573.0,,,5399.0,0.0
46.0,Left,2.0,-15.0,0.0,714.0,738.0,754.0,1816.0,2831.0,2880.0,3263.0,3286.0,,4454.0,0.0
47.0,Left,2.0,-60.0,0.0,737.0,1851.0,1873.0,2935.0,3952.0,4000.0,4688.0,4711.0,,5880.0,0.0
48.0,Left,2.0,7.5,0.0,716.0,970.0,991.0,2051.0,3069.0,3116.0,4368.0,,,5191.0,0.0
49.0,Right,2.0,60.0,0.0,713.0,1527.0,1547.0,2610.0,3628.0,3674.0,4366.0,4389.0,4492.0,5508.0,0.0
50.0,Left,2.0,-7.5,0.0,695.0,717.0,730.0,1788.0,2806.0,2851.0,3393.0,3417.0,,4591.0,0.0
51.0,Right,2.0,15.0,0.0,687.0,7353.0,7369.0,8436.0,9454.0,9501.0,10068.0,10091.0,10192.0,11209.0,0.0
52.0,Left,2.0,-30.0,0.0,694.0,3418.0,3444.0,4502.0,5523.0,5567.0,6192.0,6216.0,,7390.0,0.0
53.0,Right,2.0,30.0,0.0,727.0,1179.0,1194.0,2254.0,3270.0,3319.0,4022.0,4045.0,4148.0,5164.0,0.0
54.0,Right,2.0,60.0,0.0,702.0,726.0,740.0,1805.0,2823.0,2869.0,3593.0,3617.0,3719.0,4736.0,0.0
55.0,Right,2.0,30.0,0.0,707.0,731.0,746.0,1809.0,2827.0,2874.0,3640.0,3664.0,3763.0,4779.0,0.0
56.0,Left,2.0,-30.0,0.0,690.0,714.0,730.0,1799.0,2816.0,2863.0,3389.0,3412.0,,4582.0,0.0
57.0,DurationTime,2.0,7.5,0.0,699.0,723.0,736.0,1798.0,,,,,,2612.0,0.0
58.0,Right,2.0,-60.0,0.0,711.0,735.0,750.0,1810.0,2829.0,2875.0,3754.0,,,4578.0,0.0
59.0,Left,2.0,-7.5,0.0,717.0,740.0,758.0,1816.0,2833.0,2880.0,3319.0,3342.0,,4517.0,0.0
60.0,Left,2.0,-15.0,0.0,717.0,740.0,756.0,1816.0,2833.0,2879.0,3319.0,3342.0,,4511.0,0.0
61.0,Right,2.0,15.0,0.0,697.0,721.0,739.0,1802.0,2816.0,2861.0,3737.0,3760.0,3860.0,4877.0,0.0
62.0,Right,2.0,7.5,0.0,706.0,729.0,744.0,1806.0,2824.0,2871.0,3690.0,3713.0,3816.0,4835.0,0.0
63.0,Right,2.0,-15.0,0.0,723.0,747.0,763.0,1827.0,2846.0,2893.0,3611.0,,,4436.0,0.0
64.0,Left,2.0,60.0,0.0,707.0,731.0,750.0,1811.0,2827.0,2875.0,3465.0,,,4289.0,0.0
65.0,Right,2.0,-7.5,0.0,693.0,716.0,734.0,1786.0,2803.0,2852.0,3922.0,,,4748.0,0.0
66.0,Right,2.0,30.0,0.0,708.0,731.0,746.0,1813.0,2833.0,2877.0,3817.0,3840.0,3943.0,4958.0,0.0
67.0,Right,2.0,7.5,0.0,696.0,720.0,736.0,1807.0,2826.0,2872.0,3400.0,3424.0,3526.0,4547.0,0.0
68.0,Right,2.0,15.0,0.0,709.0,732.0,750.0,1816.0,2832.0,2880.0,5783.0,5807.0,5908.0,6925.0,0.0
69.0,Left,2.0,-30.0,0.0,696.0,717.0,734.0,1796.0,2814.0,2861.0,3252.0,3275.0,,4447.0,0.0
70.0,Left,2.0,-60.0,0.0,687.0,709.0,723.0,1788.0,2805.0,2852.0,3233.0,3256.0,,4425.0,0.0
71.0,Right,2.0,7.5,0.0,714.0,737.0,751.0,1826.0,2843.0,2890.0,3716.0,3739.0,3842.0,4859.0,0.0
72.0,Right,2.0,15.0,0.0,693.0,716.0,732.0,1797.0,2817.0,2860.0,3925.0,3949.0,4051.0,5067.0,0.0
73.0,Right,2.0,-7.5,0.0,701.0,721.0,736.0,1794.0,2812.0,2858.0,3286.0,,,4110.0,0.0
74.0,Left,2.0,-60.0,0.0,697.0,721.0,736.0,1799.0,2816.0,2864.0,3392.0,3418.0,,4585.0,0.0
75.0,Right,2.0,30.0,0.0,734.0,758.0,777.0,1840.0,2857.0,2904.0,3504.0,3528.0,3630.0,4646.0,0.0
76.0,Left,2.0,-30.0,0.0,702.0,5026.0,5043.0,6105.0,7124.0,7169.0,7698.0,7721.0,,8890.0,0.0
77.0,Left,2.0,-15.0,0.0,733.0,756.0,773.0,1842.0,2858.0,2907.0,5141.0,5164.0,,6336.0,0.0
78.0,Right,2.0,60.0,0.0,740.0,901.0,912.0,1982.0,2998.0,3045.0,3528.0,3551.0,3654.0,4671.0,0.0
79.0,Right,2.0,15.0,0.0,697.0,720.0,741.0,1801.0,2820.0,2865.0,3489.0,3512.0,3616.0,4634.0,0.0
80.0,Right,2.0,30.0,0.0,698.0,722.0,733.0,1796.0,2813.0,2860.0,3556.0,3580.0,3682.0,4700.0,0.0
81.0,Right,2.0,7.5,0.0,691.0,712.0,734.0,1796.0,2813.0,2860.0,3449.0,3472.0,3573.0,4589.0,0.0
82.0,Right,2.0,60.0,0.0,727.0,751.0,766.0,1828.0,2845.0,2892.0,3374.0,3397.0,3498.0,4516.0,0.0
83.0,Left,2.0,-60.0,0.0,724.0,746.0,761.0,1826.0,2844.0,2890.0,3265.0,3289.0,,4458.0,0.0
84.0,Right,2.0,-30.0,0.0,716.0,741.0,757.0,1811.0,2828.0,2875.0,3431.0,,,4258.0,0.0
85.0,Left,2.0,-7.5,0.0,694.0,714.0,730.0,1794.0,2809.0,2857.0,3571.0,3594.0,,4759.0,0.0
86.0,Right,2.0,-15.0,0.0,726.0,748.0,759.0,1823.0,2840.0,2888.0,3231.0,,,4056.0,0.0
87.0,Left,2.0,-60.0,0.0,704.0,728.0,741.0,1815.0,2832.0,2875.0,4749.0,4772.0,,5941.0,0.0
88.0,Right,2.0,30.0,0.0,719.0,742.0,760.0,1826.0,2839.0,2890.0,3831.0,3854.0,3954.0,4971.0,0.0
89.0,Right,2.0,60.0,0.0,698.0,722.0,743.0,1803.0,2821.0,2869.0,3473.0,3496.0,3599.0,4619.0,0.0
