,HEADING_DIRECTION,R_counts,counts
0,-60.0,5,28
1,-30.0,7,27
2,-15.0,12,24
3,-7.5,17,29
4,7.5,18,27
5,15.0,20,30
6,30.0,20,27
7,60.0,21,24
