,HEADING_DIRECTION,R_counts,counts
0,-60.0,5,16
1,-30.0,4,23
2,-15.0,4,23
3,-7.5,5,18
4,7.5,7,22
5,15.0,10,15
6,30.0,9,25
7,60.0,8,17
