Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,3896
2,2,2,0000000000010,0000000000010,7304,11852
3,2,2,0000000000011,0000000000010,14870,19252
4,4,4,0000000000100,0000000000100,22295,26255
5,4,4,0000000000101,0000000000100,29981,34007
6,4,4,0000000000110,0000000000100,37079,40760
7,4,4,0000000000111,0000000000100,43815,47962
8,8,8,0000000001000,0000000001000,50983,52872
9,8,8,0000000001001,0000000001000,55887,57777
10,8,8,0000000001010,0000000001000,62372,67073
11,8,8,0000000001011,0000000001000,70060,74647
12,8,8,0000000001100,0000000001000,77681,81829
13,8,8,0000000001101,0000000001000,84864,89158
14,8,8,0000000001110,0000000001000,92818,96145
15,8,8,0000000001111,0000000001000,99159,103145
16,16,16,0000000010000,0000000010000,106146,109903
17,16,16,0000000010001,0000000010000,112947,117268
18,16,16,0000000010010,0000000010000,120317,124455
19,16,16,0000000010011,0000000010000,127475,129373
20,16,16,0000000010100,0000000010000,132373,135331
21,16,16,0000000010101,0000000010000,138335,141654
22,16,16,0000000010110,0000000010000,144977,149145
23,16,16,0000000010111,0000000010000,152312,157639
24,16,16,0000000011000,0000000010000,160668,164785
25,16,16,0000000011001,0000000010000,167807,171749
26,16,16,0000000011010,0000000010000,174789,179775
27,16,16,0000000011011,0000000010000,183182,187575
28,16,16,0000000011100,0000000010000,190639,195034
29,16,16,0000000011101,0000000010000,198050,202188
30,16,16,0000000011110,0000000010000,205443,210066
31,16,16,0000000011111,0000000010000,214059,218132
32,32,32,0000000100000,0000000100000,221175,224564
33,32,32,0000000100001,0000000100000,227585,232638
34,34,32,0000000100010,0000000100010,236170,240579
35,34,32,0000000100011,0000000100010,243689,248231
36,32,32,0000000100100,0000000100000,251257,255738
37,32,32,0000000100101,0000000100000,258999,260893
38,34,32,0000000100110,0000000100010,263922,267207
39,34,32,0000000100111,0000000100010,270230,273498
40,40,32,0000000101000,0000000101000,276507,280045
41,32,32,0000000101001,0000000100000,283091,287988
42,32,32,0000000101010,0000000100000,291013,295193
43,40,32,0000000101011,0000000101000,298234,301653
44,32,32,0000000101100,0000000100000,304693,308088
45,32,32,0000000101101,0000000100000,311113,314461
46,34,32,0000000101110,0000000100010,317473,320749
47,32,32,0000000101111,0000000100000,323752,327405
48,32,32,0000000110000,0000000100000,330408,334229
49,32,32,0000000110001,0000000100000,337271,340233
50,34,32,0000000110010,0000000100010,343265,346224
51,34,32,0000000110011,0000000100010,349247,351125
52,32,32,0000000110100,0000000100000,354126,356025
53,32,32,0000000110101,0000000100000,359053,362335
54,34,32,0000000110110,0000000100010,365345,369636
55,32,32,0000000110111,0000000100000,372681,377161
56,32,32,0000000111000,0000000100000,380170,384209
57,40,32,0000000111001,0000000101000,387204,392790
58,40,32,0000000111010,0000000101000,395799,399693
59,40,32,0000000111011,0000000101000,402699,406085
60,32,32,0000000111100,0000000100000,409133,413158
61,32,32,0000000111101,0000000100000,416182,419915
62,34,32,0000000111110,0000000100010,422937,426208
63,34,32,0000000111111,0000000100010,429204,433102
64,64,64,0000001000000,0000001000000,436104,439925
65,64,64,0000001000001,0000001000000,442965,446326
66,64,64,0000001000010,0000001000000,449341,454161
67,64,64,0000001000011,0000001000000,458216,462587
68,64,64,0000001000100,0000001000000,465590,469711
69,64,64,0000001000101,0000001000000,472738,476998
70,64,64,0000001000110,0000001000000,480023,484177
71,64,64,0000001000111,0000001000000,487201,490929
72,64,64,0000001001000,0000001000000,494228,499211
73,64,64,0000001001001,0000001000000,502239,506240
74,64,64,0000001001010,0000001000000,509260,513002
75,64,64,0000001001011,0000001000000,516539,521573
76,64,64,0000001001100,0000001000000,524623,528057
77,64,64,0000001001101,0000001000000,531101,534486
78,64,64,0000001001110,0000001000000,537489,541189
79,64,64,0000001001111,0000001000000,544238,548354
80,64,64,0000001010000,0000001000000,551379,555713
81,64,64,0000001010001,0000001000000,558742,563326
82,64,64,0000001010010,0000001000000,566369,570091
83,64,64,0000001010011,0000001000000,573078,577299
84,64,64,0000001010100,0000001000000,580707,585862
85,64,64,0000001010101,0000001000000,588910,593639
86,64,64,0000001010110,0000001000000,596686,600768
87,64,64,0000001010111,0000001000000,603790,605700
88,64,64,0000001011000,0000001000000,608712,613167
89,64,64,0000001011001,0000001000000,616205,620422
90,64,64,0000001011010,0000001000000,623452,627050
91,64,64,0000001011011,0000001000000,630050,633611
92,64,64,0000001011100,0000001000000,636641,640610
93,64,64,0000001011101,0000001000000,643742,648457
94,64,64,0000001011110,0000001000000,651496,653398
95,64,64,0000001011111,0000001000000,656422,658318
96,64,64,0000001100000,0000001000000,661346,664889
97,64,64,0000001100001,0000001000000,667926,671208
98,66,64,0000001100010,0000001000010,674299,678342
99,64,64,0000001100011,0000001000000,681345,684302
100,64,64,0000001100100,0000001000000,687345,690882
101,64,64,0000001100101,0000001000000,693926,697275
102,66,64,0000001100110,0000001000010,700311,704220
103,64,64,0000001100111,0000001000000,707213,711482
104,72,64,0000001101000,0000001001000,714525,718803
105,72,64,0000001101001,0000001001000,721832,725881
106,72,64,0000001101010,0000001001000,728910,733282
107,72,64,0000001101011,0000001001000,736308,740445
108,64,64,0000001101100,0000001000000,743458,747579
109,64,64,0000001101101,0000001000000,750622,753586
110,66,64,0000001101110,0000001000010,756619,758508
111,64,64,0000001101111,0000001000000,761526,763423
112,64,64,0000001110000,0000001000000,766460,770454
113,64,64,0000001110001,0000001000000,773483,777265
114,64,64,0000001110010,0000001000000,780293,783894
115,66,64,0000001110011,0000001000010,787024,791073
116,64,64,0000001110100,0000001000000,794083,797354
117,64,64,0000001110101,0000001000000,800384,804918
118,66,64,0000001110110,0000001000010,807943,812141
119,66,64,0000001110111,0000001000010,815129,819519
120,72,64,0000001111000,0000001001000,822564,824458
121,72,64,0000001111001,0000001001000,827497,833571
122,72,64,0000001111010,0000001001000,836597,840771
123,72,64,0000001111011,0000001001000,844205,848258
124,64,64,0000001111100,0000001000000,851256,855471
125,64,64,0000001111101,0000001000000,858499,862828
126,66,64,0000001111110,0000001000010,866764,871204
127,72,64,0000001111111,0000001001000,874213,878796
128,128,128,0000010000000,0000010000000,881797,885950
129,128,128,0000010000001,0000010000000,888977,893193
130,128,128,0000010000010,0000010000000,896260,900697
131,130,128,0000010000011,0000010000010,904224,908921
132,128,128,0000010000100,0000010000000,911962,916120
133,128,128,0000010000101,0000010000000,919245,923519
134,128,128,0000010000110,0000010000000,926555,930037
135,128,128,0000010000111,0000010000000,933060,937102
136,128,128,0000010001000,0000010000000,940115,943796
137,128,128,0000010001001,0000010000000,946840,950484
138,128,128,0000010001010,0000010000000,953513,957953
139,128,128,0000010001011,0000010000000,960995,963952
140,128,128,0000010001100,0000010000000,966991,970265
141,128,128,0000010001101,0000010000000,973348,977114
142,128,128,0000010001110,0000010000000,980440,984495
143,128,128,0000010001111,0000010000000,987501,992177
144,128,128,0000010010000,0000010000000,995164,999113
145,128,128,0000010010001,0000010000000,1002151,1005248
146,128,128,0000010010010,0000010000000,1014117,1020091
147,128,128,0000010010011,0000010000000,1023136,1027273
148,128,128,0000010010100,0000010000000,1030541,1035096
149,128,128,0000010010101,0000010000000,1038132,1041758
150,128,128,0000010010110,0000010000000,1044799,1048738
151,128,128,0000010010111,0000010000000,1051859,1055975
152,128,128,0000010011000,0000010000000,1059028,1063569
153,128,128,0000010011001,0000010000000,1066570,1070621
154,128,128,0000010011010,0000010000000,1073662,1078344
155,128,128,0000010011011,0000010000000,1081374,1085347
156,128,128,0000010011100,0000010000000,1088391,1092821
157,128,128,0000010011101,0000010000000,1095869,1099823
158,128,128,0000010011110,0000010000000,1102827,1107329
159,128,128,0000010011111,0000010000000,1110371,1114848
160,128,128,0000010100000,0000010000000,1117892,1122347
161,128,128,0000010100001,0000010000000,1125364,1128984
162,130,128,0000010100010,0000010000010,1132010,1135665
163,128,128,0000010100011,0000010000000,1138652,1142001
164,128,128,0000010100100,0000010000000,1145048,1149209
165,128,128,0000010100101,0000010000000,1152264,1155633
166,130,128,0000010100110,0000010000010,1158653,1162610
167,130,128,0000010100111,0000010000010,1165636,1169942
168,136,128,0000010101000,0000010001000,1172973,1177196
169,136,128,0000010101001,0000010001000,1180222,1184446
170,130,128,0000010101010,0000010000010,1187475,1191648
171,128,128,0000010101011,0000010000000,1194652,1198735
172,128,128,0000010101100,0000010000000,1201768,1205950
173,128,128,0000010101101,0000010000000,1208968,1212329
174,130,128,0000010101110,0000010000010,1215356,1218573
175,128,128,0000010101111,0000010000000,1221582,1224544
176,128,128,0000010110000,0000010000000,1227563,1231650
177,128,128,0000010110001,0000010000000,1234693,1240615
178,130,128,0000010110010,0000010000010,1243637,1247476
179,128,128,0000010110011,0000010000000,1250506,1254439
180,128,128,0000010110100,0000010000000,1257479,1261001
181,128,128,0000010110101,0000010000000,1264004,1267629
182,130,128,0000010110110,0000010000010,1270655,1275054
183,130,128,0000010110111,0000010000010,1278079,1281722
184,136,128,0000010111000,0000010001000,1284712,1287706
185,136,128,0000010111001,0000010001000,1290711,1294270
186,136,128,0000010111010,0000010001000,1297314,1300812
187,136,128,0000010111011,0000010001000,1303818,1307714
188,136,128,0000010111100,0000010001000,1310755,1314943
189,128,128,0000010111101,0000010000000,1317969,1322249
190,130,128,0000010111110,0000010000010,1325289,1329209
191,128,128,0000010111111,0000010000000,1332253,1336153
192,128,128,0000011000000,0000010000000,1339178,1343438
193,128,128,0000011000001,0000010000000,1347200,1351220
194,128,128,0000011000010,0000010000000,1354264,1357586
195,128,128,0000011000011,0000010000000,1360628,1364610
196,128,128,0000011000100,0000010000000,1367630,1371044
197,128,128,0000011000101,0000010000000,1374071,1377476
198,128,128,0000011000110,0000010000000,1380475,1384392
199,128,128,0000011000111,0000010000000,1387437,1391844
200,128,128,0000011001000,0000010000000,1394865,1398660
201,128,128,0000011001001,0000010000000,1401681,1404958
202,128,128,0000011001010,0000010000000,1409521,1414519
203,128,128,0000011001011,0000010000000,1417521,1421238
204,128,128,0000011001100,0000010000000,1424281,1428086
205,128,128,0000011001101,0000010000000,1431096,1434389
206,128,128,0000011001110,0000010000000,1437392,1440935
207,128,128,0000011001111,0000010000000,1443937,1445834
208,128,128,0000011010000,0000010000000,1449683,1453737
209,128,128,0000011010001,0000010000000,1456767,1461162
210,128,128,0000011010010,0000010000000,1464178,1466079
211,128,128,0000011010011,0000010000000,1469121,1472886
212,128,128,0000011010100,0000010000000,1475911,1479746
213,128,128,0000011010101,0000010000000,1482775,1486062
214,128,128,0000011010110,0000010000000,1489066,1493224
215,128,128,0000011010111,0000010000000,1496265,1500052
216,128,128,0000011011000,0000010000000,1503075,1506729
217,128,128,0000011011001,0000010000000,1509759,1513386
218,128,128,0000011011010,0000010000000,1516371,1519331
