,HEADING_DIRECTION,R_counts,counts
0,-60.0,2,29
1,-30.0,11,26
2,-15.0,7,26
3,-7.5,16,27
4,7.5,20,26
5,15.0,17,28
6,30.0,23,30
7,60.0,22,26
