Trial number,Trial number - binary,Expected MSB,Trial number excepted - bins,Trial number - bins ,Start time,End time
1,1,1,0000000000001,0000000000001,0,3302
2,2,2,0000000000010,0000000000010,6322,10108
3,3,2,0000000000011,0000000000011,14578,19009
4,4,4,0000000000100,0000000000100,22692,28032
5,4,4,0000000000101,0000000000100,31041,32937
6,4,4,0000000000110,0000000000100,41341,45784
7,4,4,0000000000111,0000000000100,48808,53265
8,8,8,0000000001000,0000000001000,56251,60395
9,8,8,0000000001001,0000000001000,63381,65269
10,8,8,0000000001010,0000000001000,71298,75513
11,8,8,0000000001011,0000000001000,80338,85018
12,8,8,0000000001100,0000000001000,88015,92021
13,8,8,0000000001101,0000000001000,95006,99493
14,8,8,0000000001110,0000000001000,102525,106846
15,8,8,0000000001111,0000000001000,109845,114368
16,16,16,0000000010000,0000000010000,117392,121699
17,16,16,0000000010001,0000000010000,124703,128605
18,16,16,0000000010010,0000000010000,131641,133535
19,16,16,0000000010011,0000000010000,137338,141655
20,16,16,0000000010100,0000000010000,144642,148678
21,16,16,0000000010101,0000000010000,151701,155828
22,16,16,0000000010110,0000000010000,158850,162609
23,16,16,0000000010111,0000000010000,165642,169819
24,16,16,0000000011000,0000000010000,172802,177519
25,16,16,0000000011001,0000000010000,180533,184294
26,16,16,0000000011010,0000000010000,187298,191139
27,16,16,0000000011011,0000000010000,194174,198821
28,16,16,0000000011100,0000000010000,201826,205789
29,16,16,0000000011101,0000000010000,208790,212938
30,16,16,0000000011110,0000000010000,215957,220187
31,16,16,0000000011111,0000000010000,223194,226899
32,32,32,0000000100000,0000000100000,229901,233770
33,32,32,0000000100001,0000000100000,236761,240803
34,34,32,0000000100010,0000000100010,245415,247305
35,34,32,0000000100011,0000000100010,250313,253593
36,32,32,0000000100100,0000000100000,256622,261422
37,32,32,0000000100101,0000000100000,264431,268536
38,34,32,0000000100110,0000000100010,271530,275234
39,34,32,0000000100111,0000000100010,278232,282239
40,40,32,0000000101000,0000000101000,285270,289481
41,32,32,0000000101001,0000000100000,293210,297085
42,40,32,0000000101010,0000000101000,300091,304472
43,40,32,0000000101011,0000000101000,307475,311815
44,32,32,0000000101100,0000000100000,314837,318242
45,32,32,0000000101101,0000000100000,321231,325070
46,34,32,0000000101110,0000000100010,328075,331710
47,34,32,0000000101111,0000000100010,334717,338396
48,32,32,0000000110000,0000000100000,341408,345835
49,32,32,0000000110001,0000000100000,348930,353190
50,34,32,0000000110010,0000000100010,356238,360299
51,32,32,0000000110011,0000000100000,369407,373347
52,32,32,0000000110100,0000000100000,376363,380578
53,32,32,0000000110101,0000000100000,383567,387874
54,34,32,0000000110110,0000000100010,390812,394479
55,34,32,0000000110111,0000000100010,397479,401434
56,40,32,0000000111000,0000000101000,404463,408714
57,40,32,0000000111001,0000000101000,411712,417012
58,40,32,0000000111010,0000000101000,420553,422472
59,32,32,0000000111011,0000000100000,455692,459871
60,40,32,0000000111100,0000000101000,462901,466641
61,32,32,0000000111101,0000000100000,469639,473668
62,40,32,0000000111110,0000000101000,476684,480864
63,32,32,0000000111111,0000000100000,483864,487663
64,64,64,0000001000000,0000001000000,490698,494604
65,64,64,0000001000001,0000001000000,497643,501749
66,64,64,0000001000010,0000001000000,504749,508911
67,64,64,0000001000011,0000001000000,513134,516983
68,64,64,0000001000100,0000001000000,519983,523928
69,64,64,0000001000101,0000001000000,526963,531126
70,64,64,0000001000110,0000001000000,534155,538281
71,64,64,0000001000111,0000001000000,541288,545529
72,72,64,0000001001000,0000001001000,548568,552388
73,64,64,0000001001001,0000001000000,555418,559525
74,64,64,0000001001010,0000001000000,564034,568467
75,64,64,0000001001011,0000001000000,571496,575591
76,64,64,0000001001100,0000001000000,578614,582776
77,64,64,0000001001101,0000001000000,585784,589864
