,HEADING_DIRECTION,R_counts,counts
0,-60.0,6,29
1,-30.0,5,23
2,-15.0,9,26
3,-7.5,10,24
4,7.5,14,22
5,15.0,16,26
6,30.0,16,23
7,60.0,21,25
