Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,StartTimeOnSet,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward,EndTimeOnSet
106.0,Left,2.0,15.0,795602,0.0,692.0,715.0,730.0,1791.0,2810.0,2856.0,3736.0,,,4562.0,0.0,799478
107.0,Left,2.0,-7.5,802479,0.0,695.0,718.0,730.0,1799.0,2818.0,2863.0,3939.0,3963.0,,5172.0,0.0,806938
108.0,Left,2.0,-30.0,809952,0.0,713.0,735.0,750.0,1809.0,2825.0,2873.0,3700.0,3723.0,,4931.0,0.0,814149
109.0,Left,2.0,7.5,817174,0.0,726.0,748.0,760.0,1823.0,2841.0,2886.0,3736.0,,,4560.0,0.0,820989
110.0,Right,2.0,15.0,824006,0.0,707.0,731.0,748.0,1812.0,2830.0,2875.0,3683.0,3706.0,3807.0,4828.0,0.0,828120
111.0,Right,2.0,7.5,831149,0.0,726.0,749.0,764.0,1830.0,2848.0,2895.0,4232.0,4256.0,4358.0,5373.0,0.0,835771
112.0,Right,2.0,-7.5,838772,0.0,694.0,717.0,731.0,1792.0,2810.0,2855.0,3847.0,,,4671.0,0.0,842720
113.0,Left,2.0,-15.0,845745,0.0,724.0,748.0,768.0,1830.0,2847.0,2894.0,3659.0,3682.0,,4892.0,0.0,849886
114.0,Left,2.0,-30.0,853099,0.0,692.0,916.0,935.0,2001.0,3020.0,3067.0,4157.0,4180.0,,5388.0,0.0,857556
115.0,Right,2.0,60.0,860560,0.0,699.0,719.0,733.0,1795.0,2813.0,2858.0,4004.0,4027.0,4128.0,5147.0,0.0,864983
116.0,Left,2.0,-60.0,868111,0.0,698.0,721.0,737.0,1804.0,2822.0,2868.0,3645.0,3668.0,,4880.0,0.0,872170
117.0,Right,2.0,30.0,875202,0.0,724.0,747.0,760.0,1826.0,2844.0,2891.0,4085.0,4108.0,4209.0,5224.0,0.0,879678
118.0,Left,2.0,30.0,882682,0.0,695.0,718.0,736.0,1799.0,2816.0,2863.0,3749.0,,,4573.0,0.0,886537
119.0,Right,2.0,60.0,889576,0.0,724.0,748.0,761.0,1834.0,2851.0,2899.0,3832.0,3855.0,3958.0,4973.0,0.0,893786
120.0,Left,2.0,-60.0,896823,0.0,730.0,754.0,771.0,1829.0,2848.0,2893.0,3640.0,3663.0,,4870.0,0.0,900941
121.0,Left,2.0,-15.0,903947,0.0,695.0,718.0,734.0,1803.0,2821.0,2866.0,3635.0,3658.0,,4866.0,0.0,908081
122.0,Right,2.0,15.0,911082,0.0,693.0,717.0,730.0,1798.0,2816.0,2863.0,5278.0,5301.0,5403.0,6420.0,0.0,916776
123.0,Right,2.0,7.5,919785,0.0,710.0,732.0,745.0,1807.0,2825.0,2873.0,3645.0,3668.0,3769.0,4790.0,0.0,923843
124.0,DurationTime,2.0,-7.5,926857,0.0,708.0,731.0,746.0,1820.0,,,,,,2633.0,0.0,928753
125.0,Left,2.0,-30.0,931742,0.0,695.0,716.0,733.0,1796.0,2809.0,2860.0,3651.0,3675.0,,4888.0,0.0,935916
126.0,Left,2.0,-7.5,938943,0.0,730.0,754.0,769.0,1827.0,2845.0,2892.0,3657.0,3681.0,,4890.0,0.0,943084
127.0,Right,2.0,60.0,946092,0.0,701.0,724.0,738.0,1804.0,2824.0,2866.0,3945.0,3969.0,4071.0,5088.0,0.0,950456
128.0,Left,2.0,-15.0,953482,0.0,732.0,752.0,764.0,1829.0,2847.0,2894.0,3846.0,3870.0,,5080.0,0.0,957817
129.0,Left,2.0,-30.0,960823,0.0,706.0,726.0,741.0,1802.0,2821.0,2866.0,3532.0,3555.0,,4765.0,0.0,964858
130.0,NoDecision,2.0,15.0,968408,0.0,698.0,1262.0,1279.0,2345.0,3364.0,3409.0,,,,7209.0,0.0,974381
131.0,Right,2.0,-60.0,977386,0.0,699.0,722.0,742.0,1801.0,2819.0,2866.0,3895.0,,,4719.0,0.0,981374
132.0,DurationTime,2.0,15.0,984403,0.0,723.0,745.0,761.0,1827.0,,,,,,2636.0,0.0,986298
133.0,Left,2.0,7.5,989433,0.0,734.0,847.0,862.0,1929.0,2946.0,2993.0,3957.0,,,4782.0,0.0,993355
134.0,Left,2.0,-7.5,1058880,0.0,725.0,19416.0,19430.0,20493.0,21508.0,21558.0,22472.0,22495.0,,23704.0,0.0,1063174
135.0,Right,2.0,15.0,1066184,0.0,703.0,726.0,747.0,1808.0,2825.0,2872.0,3475.0,3499.0,3601.0,4619.0,0.0,1070080
136.0,Right,2.0,30.0,1075261,0.0,724.0,2907.0,2924.0,3982.0,5000.0,5047.0,5901.0,5924.0,6027.0,7046.0,0.0,1079400
137.0,Right,2.0,-60.0,1082422,0.0,714.0,735.0,754.0,1821.0,2838.0,2885.0,5464.0,,,6289.0,0.0,1087966
138.0,Right,2.0,15.0,1090970,0.0,696.0,716.0,733.0,1798.0,2817.0,2861.0,3420.0,3443.0,3546.0,4561.0,0.0,1094808
139.0,Right,2.0,-7.5,1098955,0.0,719.0,1871.0,1888.0,2950.0,3968.0,4014.0,5222.0,,,6046.0,0.0,1103131
140.0,Right,2.0,30.0,1106134,0.0,698.0,721.0,739.0,1803.0,2819.0,2868.0,3576.0,3599.0,3698.0,4716.0,0.0,1110130
141.0,Right,2.0,7.5,1113119,0.0,695.0,719.0,733.0,1797.0,2818.0,2861.0,4213.0,4237.0,4336.0,5354.0,0.0,1117760
142.0,Left,2.0,-15.0,1120749,0.0,690.0,712.0,725.0,1784.0,2797.0,2846.0,3692.0,3716.0,,4925.0,0.0,1124962
143.0,Left,2.0,-30.0,1129627,0.0,728.0,2383.0,2403.0,3457.0,4475.0,4537.0,5518.0,5541.0,,6746.0,0.0,1133987
144.0,Left,2.0,60.0,1152328,0.0,736.0,16057.0,16073.0,17139.0,18156.0,18203.0,18551.0,,,19378.0,0.0,1155655
145.0,DurationTime,2.0,-30.0,1160059,0.0,704.0,2118.0,2141.0,3208.0,,,,,,4023.0,0.0,1161953
146.0,Left,2.0,-7.5,1165150,0.0,733.0,915.0,933.0,1990.0,3008.0,3054.0,3970.0,3994.0,,5211.0,0.0,1169434
147.0,Left,2.0,15.0,1174524,0.0,702.0,2814.0,2825.0,3893.0,4906.0,4958.0,5749.0,,,6573.0,0.0,1178292
148.0,Right,2.0,7.5,1181308,0.0,715.0,738.0,754.0,1813.0,2831.0,2877.0,4759.0,4782.0,4883.0,5903.0,0.0,1186477
149.0,Left,2.0,-15.0,1189470,0.0,688.0,711.0,730.0,1791.0,2809.0,2855.0,3770.0,3794.0,,5012.0,0.0,1193772
150.0,Left,2.0,30.0,1196779,0.0,696.0,720.0,737.0,1804.0,2823.0,2868.0,3739.0,,,4565.0,0.0,1200624
151.0,Left,2.0,-30.0,1203646,0.0,714.0,737.0,749.0,1821.0,2842.0,2885.0,3791.0,3815.0,,5037.0,0.0,1207972
