,HEADING_DIRECTION,R_counts,counts
0,-60.0,89,873
1,-30.0,178,874
2,-15.0,315,970
3,-7.5,397,953
4,7.5,519,922
5,15.0,584,962
6,30.0,647,921
7,60.0,720,969
