,HEADING_DIRECTION,R_counts,counts
0,-60.0,76,936
1,-30.0,272,948
2,-15.0,352,976
3,-7.5,400,1086
4,7.5,594,954
5,15.0,700,884
6,30.0,658,950
7,60.0,710,952
