,HEADING_DIRECTION,R_counts,counts
0,-60.0,50,343
1,-30.0,102,329
2,-15.0,129,318
3,-7.5,168,318
4,7.5,201,321
5,15.0,221,318
6,30.0,245,326
7,60.0,261,327
