,HEADING_DIRECTION,R_counts,counts
0,-60.0,28,406
1,-30.0,116,424
2,-15.0,156,426
3,-7.5,180,486
4,7.5,252,409
5,15.0,300,392
6,30.0,284,419
7,60.0,320,413
