,HEADING_DIRECTION,R_counts,counts
0,-60.0,30,294
1,-30.0,60,294
2,-15.0,108,324
3,-7.5,132,324
4,7.5,171,312
5,15.0,192,318
6,30.0,219,312
7,60.0,243,324
