,HEADING_DIRECTION,R_counts,counts
0,-60.0,8,25
1,-30.0,13,29
2,-15.0,15,25
3,-7.5,15,28
4,7.5,9,25
5,15.0,14,26
6,30.0,18,27
7,60.0,20,27
