,HEADING_DIRECTION,R_counts,counts
0,-60.0,0,11
1,-30.0,0,13
2,-15.0,2,11
3,-7.5,2,12
4,7.5,6,11
5,15.0,5,10
6,30.0,7,11
7,60.0,9,17
