,HEADING_DIRECTION,R_counts,counts
0,-60.0,3,6
1,-30.0,2,6
2,-15.0,4,8
3,-7.5,5,6
4,7.5,5,7
5,15.0,5,8
6,30.0,4,8
7,60.0,6,10
