,HEADING_DIRECTION,R_counts,counts
0,-60.0,0,15
1,-30.0,2,11
2,-15.0,2,20
3,-7.5,3,15
4,7.5,6,14
5,15.0,7,10
6,30.0,7,14
7,60.0,7,10
