Trial,Rat Decison,STIMULUS_TYPE,HEADING_DIRECTION,TrialBeginRealTime,AudioStartRealTime,HeadEnterCenterRealTime,StimulusStartRealTime,RobotEndMovingForwardRealTime,CenterRewardRealTime,GoCueSoundRealTime,RatDecisionRealTime,SideRewardSoundRealTime,RightRewardRealTime,RobotStartMovingBackwardRealTime,TotalManualReward
1.0,Left,10.0,-60.0,0.0,441.0,463.0,476.0,1551.0,2564.0,2615.0,3175.0,3198.0,,4418.0,0.0
2.0,Right,10.0,-7.5,0.0,251.0,274.0,287.0,1363.0,2381.0,2427.0,3160.0,,,3984.0,0.0
3.0,Right,10.0,-15.0,0.0,449.0,671.0,681.0,1748.0,2764.0,2813.0,4030.0,,,4854.0,0.0
4.0,Right,2.0,-7.5,0.0,688.0,1110.0,1124.0,2201.0,3220.0,3266.0,4076.0,,,4903.0,0.0
5.0,Right,10.0,30.0,0.0,264.0,289.0,302.0,1380.0,2397.0,2450.0,2431.0,2464.0,2562.0,3578.0,0.0
6.0,Right,10.0,60.0,0.0,443.0,463.0,475.0,1558.0,2577.0,2623.0,3991.0,4015.0,4115.0,5130.0,0.0
7.0,Left,10.0,-30.0,0.0,432.0,454.0,464.0,1543.0,2560.0,2607.0,3916.0,3939.0,,5159.0,0.0
8.0,Left,2.0,-60.0,0.0,696.0,1240.0,1256.0,2317.0,3336.0,3386.0,4903.0,4927.0,,6148.0,0.0
9.0,Left,2.0,-30.0,0.0,690.0,711.0,721.0,1788.0,2805.0,2852.0,3381.0,3405.0,,4625.0,0.0
10.0,Right,2.0,60.0,0.0,688.0,711.0,728.0,1787.0,2804.0,2850.0,2900.0,2924.0,3024.0,4040.0,0.0
11.0,Right,10.0,15.0,0.0,456.0,477.0,489.0,1568.0,2586.0,2630.0,3230.0,3253.0,3355.0,4369.0,0.0
12.0,Right,2.0,7.5,0.0,694.0,715.0,725.0,1789.0,2802.0,2851.0,3404.0,3428.0,3530.0,4543.0,0.0
13.0,DurationTime,2.0,-15.0,0.0,693.0,715.0,728.0,1796.0,,,,,,2609.0,0.0
14.0,Right,2.0,30.0,0.0,711.0,1575.0,1594.0,2657.0,3669.0,3719.0,4127.0,4150.0,4253.0,5270.0,0.0
15.0,Left,2.0,15.0,0.0,702.0,725.0,742.0,1802.0,2820.0,2867.0,3561.0,,,4383.0,0.0
