,HEADING_DIRECTION,R_counts,counts
0,-60.0,0,18
1,-30.0,2,15
2,-15.0,0,17
3,-7.5,4,13
4,7.5,6,15
5,15.0,7,14
6,30.0,11,14
7,60.0,12,17
